player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Rasmus Neergaard-Petersen,David Ford,Blue,Orange,Calm,Survival,-1.81,-1.26,-1.5350000000000001,-4.58,3.04,-0.77,-0.77,-1.5350000000000001,David Ford,Push,
John Parry,Chan Kim,Green,Blue,Calm,Survival,-2.15,6.68,2.2649999999999997,-1.81,-1.26,-1.5350000000000001,2.2649999999999997,-1.5350000000000001,John Parry,John Parry,True
Doug Ghim,Adam Hadwin,Green,Yellow,Calm,Survival,7.98,-0.66,3.66,0.3,0.3,0.3,3.66,0.3,Doug Ghim,Doug Ghim,True
Aaron Rai,Shane Lowry,Purple,Purple,Calm,Survival,4.09,2.58,3.335,-1.02,-2.65,-1.835,3.335,-1.835,Aaron Rai,Shane Lowry,False
Kevin Yu,Nico Echavarria,Purple,Blue,Calm,Survival,4.09,-2.65,0.72,-1.81,-1.86,-1.835,0.72,-1.835,Kevin Yu,Nico Echavarria,False
Nicolai Hojgaard,Keith Mitchell,Green,Yellow,Calm,Survival,-2.15,6.68,2.2649999999999997,0.79,-1.01,-0.10999999999999999,2.2649999999999997,-0.10999999999999999,Nicolai Hojgaard,Nicolai Hojgaard,True
Stephan Jaeger,Davis Thompson,Yellow,Green,Calm,Survival,-0.53,0.3,-0.11500000000000002,7.98,6.68,7.33,7.33,-0.11500000000000002,Davis Thompson,Davis Thompson,True
Chad Ramey,Johnny Keefer,Yellow,Yellow,Calm,Survival,-0.53,0.3,-0.11500000000000002,0.3,0.3,0.3,0.3,-0.11500000000000002,Johnny Keefer,Chad Ramey,False
Adrien Dumont De Chassart,Jordan Smith,Purple,Orange,Calm,Survival,4.09,-2.65,0.72,1.09,3.04,2.065,2.065,0.72,Jordan Smith,Push,
Alex Smalley,Michael Brennan,Orange,Yellow,Calm,Survival,0.5,3.04,1.77,0.79,0.3,0.545,1.77,0.545,Alex Smalley,Alex Smalley,True
Eric Cole,Gary Woodland,Purple,Green,Calm,Survival,4.09,-2.65,0.72,-2.15,6.68,2.2649999999999997,2.2649999999999997,0.72,Gary Woodland,Eric Cole,False
Kevin Roy,Emiliano Grillo,Green,Blue,Calm,Survival,7.98,6.68,7.33,-2.15,-1.26,-1.705,7.33,-1.705,Kevin Roy,Emiliano Grillo,False
Dylan Wu,Matti Schmid,Red,Yellow,Calm,Survival,3.38,1.18,2.28,0.3,0.3,0.3,2.28,0.3,Dylan Wu,Dylan Wu,True
Ryan Gerard,Rasmus Hojgaard,Red,Green,Calm,Survival,-0.55,2.36,0.9049999999999999,-2.15,6.68,2.2649999999999997,2.2649999999999997,0.9049999999999999,Rasmus Hojgaard,Ryan Gerard,False
Max Homa,Sami Valimaki,Orange,Yellow,Calm,Survival,1.09,3.04,2.065,-0.53,0.3,-0.11500000000000002,2.065,-0.11500000000000002,Max Homa,Max Homa,True
Daniel Berger,Michael Thorbjornsen,Blue,Yellow,Calm,Survival,-2.15,-1.86,-2.005,0.79,-1.01,-0.10999999999999999,-0.10999999999999999,-2.005,Michael Thorbjornsen,Push,
Haotong Li,Thorbjorn Olesen,Green,Yellow,Calm,Survival,-2.15,6.68,2.2649999999999997,0.3,0.3,0.3,2.2649999999999997,0.3,Haotong Li,Thorbjorn Olesen,False
Tom Kim,Mackenzie Hughes,Purple,Orange,Calm,Survival,4.09,-2.65,0.72,1.09,-0.54,0.275,0.72,0.275,Tom Kim,Mackenzie Hughes,False
Christiaan Bezuidenhout,Kristoffer Reitan,Green,Green,Calm,Survival,-2.15,6.68,2.2649999999999997,-2.15,6.68,2.2649999999999997,2.2649999999999997,2.2649999999999997,TIE,Push,
Seamus Power,Kris Ventura,Yellow,Red,Calm,Survival,0.79,-1.01,-0.10999999999999999,-0.55,2.36,0.9049999999999999,0.9049999999999999,-0.10999999999999999,Kris Ventura,Seamus Power,False
Daniel Brown,Jesper Svensson,Orange,Yellow,Calm,Survival,0.5,3.04,1.77,-0.53,0.3,-0.11500000000000002,1.77,-0.11500000000000002,Daniel Brown,Daniel Brown,True
John Parry,David Ford,Green,Orange,Calm,Survival,-2.15,6.68,2.2649999999999997,-4.58,3.04,-0.77,2.2649999999999997,-0.77,John Parry,Push,
Austin Eckroat,Beau Hossler,Yellow,Red,Calm,Survival,0.3,0.3,0.3,-0.55,2.36,0.9049999999999999,0.9049999999999999,0.3,Beau Hossler,Austin Eckroat,False
Taylor Moore,Doug Ghim,Yellow,Green,Calm,Survival,-0.53,0.3,-0.11500000000000002,7.98,-0.66,3.66,3.66,-0.11500000000000002,Doug Ghim,Taylor Moore,False
Joel Dahmen,Lee Hodges,Yellow,Blue,Calm,Survival,0.3,0.3,0.3,-1.81,-1.26,-1.5350000000000001,0.3,-1.5350000000000001,Joel Dahmen,Joel Dahmen,True
Max McGreevy,Rico Hoey,Purple,Yellow,Calm,Survival,0.08,-2.65,-1.285,0.79,-1.01,-0.10999999999999999,-0.10999999999999999,-1.285,Rico Hoey,Push,
Mac Meissner,Matt Wallace,Blue,Blue,Calm,Survival,-1.81,-1.86,-1.835,-1.81,-1.26,-1.5350000000000001,-1.5350000000000001,-1.835,Matt Wallace,Matt Wallace,True
Shane Lowry,Keith Mitchell,Purple,Yellow,Calm,Survival,-1.02,-2.65,-1.835,0.79,-1.01,-0.10999999999999999,-0.10999999999999999,-1.835,Keith Mitchell,Shane Lowry,False
Aaron Rai,Nico Echavarria,Purple,Blue,Calm,Survival,4.09,2.58,3.335,-1.81,-1.86,-1.835,3.335,-1.835,Aaron Rai,Aaron Rai,True
Garrick Higgo,Kevin Yu,Yellow,Purple,Calm,Survival,0.3,0.3,0.3,4.09,-2.65,0.72,0.72,0.3,Kevin Yu,Garrick Higgo,False
Davis Thompson,Chris Kirk,Green,Blue,Calm,Survival,7.98,6.68,7.33,-1.81,-1.26,-1.5350000000000001,7.33,-1.5350000000000001,Davis Thompson,Davis Thompson,True
Stephan Jaeger,S.H. Kim,Yellow,Blue,Calm,Survival,-0.53,0.3,-0.11500000000000002,-1.81,-1.26,-1.5350000000000001,-0.11500000000000002,-1.5350000000000001,Stephan Jaeger,S.H. Kim,False
Nicolai Hojgaard,John Keefer,Green,Yellow,Calm,Survival,-2.15,6.68,2.2649999999999997,0.3,0.3,0.3,2.2649999999999997,0.3,Nicolai Hojgaard,Nicolai Hojgaard,True
Ricky Castillo,Jordan Smith,Yellow,Orange,Calm,Survival,0.79,-1.01,-0.10999999999999999,1.09,3.04,2.065,2.065,-0.10999999999999999,Jordan Smith,Ricky Castillo,False
Nicolai Hojgaard,Keith Mitchell,Yellow,Red,Moderate,Survival,-0.37,-0.29,-0.32999999999999996,-2.45,0.29,-1.08,-0.32999999999999996,-1.08,Nicolai Hojgaard,Keith Mitchell,False
Michael Kim,Alex Smalley,Orange,Blue,Moderate,Survival,0.89,-4.32,-1.715,-1.1,1.44,0.16999999999999993,0.16999999999999993,-1.715,Alex Smalley,Alex Smalley,True
