condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Open,9.0,9.0,16,-37.5,-9.090909090909092,EXPLORATORY,2.4353238090625
Calm,Survival,28.0,6.0,16,-37.5,-9.090909090909092,EXPLORATORY,2.6598435018
Calm,Open,12.0,5.0,192,-11.458333333333334,-9.090909090909092,HIGH,0.4047235441177082
Moderate,Positioning,28.0,2.0,27,25.925925925925924,9.09090909090909,EXPLORATORY,-0.6631803583185186
Calm,Survival,7.0,7.0,27,-25.925925925925924,-9.09090909090909,EXPLORATORY,1.5176597086
Moderate,Open,14.0,2.0,94,-13.829787234042554,-9.027777777777779,HIGH,0.3309934135055319
Calm,Closing,3.0,4.0,94,13.829787234042554,9.027777777777779,HIGH,-0.15161795198829797
Calm,Closing,1.0,7.0,61,-16.393442622950822,-9.009009009009011,HIGH,0.9503637245737704
Calm,Open,8.0,2.0,39,-20.51282051282051,-8.988764044943819,HIGH,0.6379912677435896
Calm,Open,8.0,6.0,17,-35.294117647058826,-8.955223880597016,EXPLORATORY,2.034490705470588
Moderate,Closing,10.0,7.0,84,-14.285714285714285,-8.955223880597014,HIGH,0.8503718885480951
Moderate,Survival,20.0,7.0,62,16.12903225806452,8.92857142857143,HIGH,-0.22611171959516102
Tough,Closing,5.0,3.0,6,-83.33333333333334,-8.928571428571429,WEAK,4.482330563270001
Tough,Positioning,1.0,6.0,6,-83.33333333333334,-8.928571428571429,WEAK,4.361703025166666
Calm,Survival,27.0,9.0,398,-10.050251256281406,-8.928571428571427,HIGH,0.2686210730854272
Calm,Positioning,16.0,3.0,74,-14.864864864864865,-8.870967741935484,HIGH,0.46900011694594596
Calm,Open,9.0,6.0,63,-15.873015873015872,-8.849557522123893,HIGH,0.6716862537253968
Moderate,Open,22.0,5.0,41,-19.51219512195122,-8.791208791208792,HIGH,0.3518375406573171
Tough,Open,17.0,1.0,7,71.42857142857143,8.771929824561404,WEAK,-2.8782961714014283
Tough,Positioning,13.0,6.0,7,71.42857142857143,8.771929824561404,WEAK,-2.6832986938857144
Calm,Positioning,19.0,7.0,64,15.625,8.771929824561402,HIGH,-0.688817340140625
Calm,Positioning,14.0,2.0,76,-14.473684210526319,-8.730158730158731,HIGH,0.5783670660315791
Calm,Open,2.0,7.0,145,-11.72413793103448,-8.717948717948717,HIGH,0.2206948163268965
Moderate,Positioning,6.0,1.0,42,-19.04761904761905,-8.695652173913045,HIGH,0.9946400507928572
Moderate,Open,21.0,7.0,88,-13.636363636363638,-8.695652173913045,HIGH,0.9040497756427271
Moderate,Positioning,18.0,7.0,19,31.57894736842105,8.695652173913043,EXPLORATORY,-1.2469006285693973
Calm,Survival,29.0,7.0,157,-11.46496815286624,-8.695652173913041,HIGH,0.7194048930477709
Moderate,Closing,27.0,1.0,66,15.151515151515149,8.620689655172413,HIGH,-0.3922272598060605
Tough,Open,8.0,8.0,8,62.5,8.620689655172413,WEAK,-2.6537123848662505
Moderate,Open,10.0,8.0,78,-14.102564102564102,-8.59375,HIGH,1.0393573788294865
Calm,Closing,2.0,3.0,20,30.0,8.571428571428571,EXPLORATORY,-1.5468565839
Moderate,Open,24.0,9.0,20,30.0,8.571428571428571,EXPLORATORY,-0.8343937767
Calm,Survival,6.0,3.0,20,-30.000000000000004,-8.571428571428571,EXPLORATORY,0.48282321229999975
Moderate,Positioning,25.0,9.0,32,21.875,8.536585365853659,HIGH,-0.24800309409999993
Calm,Positioning,9.0,6.0,32,-21.875,-8.536585365853659,HIGH,0.5499515287125
