player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Aldrich Potgieter,Adam Scott,Calm,Open,SKIP,Adam Scott,-4.004421471728426,-15.683253588516745,-11.67883211678832,SKIP,
J.T. Poston,Keith Mitchell,Calm,Open,Keith Mitchell,Keith Mitchell,-8.715977961432513,-18.633333333333336,-9.917355371900824,WIN,True
Nicolai Hojgaard,Austin Smotherman,Calm,Open,SKIP,nan,-0.49993454426444117,-14.417460317460318,-13.917525773195877,SKIP,
Si Woo Kim,Bud Cauley,Calm,Open,Bud Cauley,Bud Cauley,-5.561371799328002,-15.87883211678832,-10.317460317460318,WIN,True
Lucas Glover,Ryo Hisatsune,Calm,Open,SKIP,Ryo Hisatsune,-4.461264683908505,-15.94451827242525,-11.483253588516746,SKIP,
Ryan Gerard,Jason Day,Calm,Open,Jason Day,Jason Day,-11.359372778158411,-18.00389105058366,-6.64451827242525,WIN,True
Taylor Pendrith,Denny McCarthy,Calm,Open,SKIP,Denny McCarthy,-4.515873015873018,-14.833333333333336,-10.317460317460318,SKIP,
Kurt Kitayama,Pierceson Coody,Calm,Open,Pierceson Coody,Kurt Kitayama,-6.799999999999999,-16.717355371900823,-9.917355371900824,LOSS,False
Jordan Spieth,Sam Stevens,Calm,Open,SKIP,Jordan Spieth,-3.6250589337953425,-15.303891050583662,-11.67883211678832,SKIP,
Jake Knapp,Matt Fitzpatrick,Calm,Open,Matt Fitzpatrick,Jake Knapp,-6.6500797448165905,-18.133333333333336,-11.483253588516746,LOSS,False
Sam Burns,Sungjae Im,Calm,Open,SKIP,Sam Burns,-3.16032258585337,-12.70389105058366,-9.54356846473029,SKIP,
J.J. Spaun,Nick Taylor,Calm,Open,SKIP,Nick Taylor,-1.9603225858533708,-11.503891050583661,-9.54356846473029,SKIP,
Keegan Bradley,Maverick McNealy,Calm,Open,Maverick McNealy,Maverick McNealy,-13.988815060908086,-20.633333333333336,-6.64451827242525,WIN,True
Ben Griffin,Tommy Fleetwood,Calm,Open,Tommy Fleetwood,Ben Griffin,-14.300170401295054,-24.217525773195877,-9.917355371900824,LOSS,False
Nico Echavarria,Ludvig Aberg,Calm,Open,Ludvig Aberg,Ludvig Aberg,-9.23431384436307,-15.87883211678832,-6.64451827242525,WIN,True
Jacob Bridgeman,Chris Gotterup,Calm,Open,SKIP,Chris Gotterup,-4.683330045373845,-16.362162162162164,-11.67883211678832,SKIP,
Justin Thomas,Hideki Matsuyama,Calm,Open,Hideki Matsuyama,Hideki Matsuyama,-11.90006545573556,-22.217525773195877,-10.317460317460318,WIN,True
