condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Survival,21.0,5.0,17,17.64705882352941,4.477611940298507,EXPLORATORY,-0.35857739204117645
Calm,Closing,19.0,8.0,40,9.999999999999998,4.444444444444444,HIGH,0.11828690340750003
Calm,Open,14.0,4.0,41,9.75609756097561,4.395604395604396,HIGH,-0.27878554402926825
Tough,Positioning,6.0,2.0,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-1.1848391863273682
Tough,Open,27.0,9.0,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.8420514197021053
Calm,Positioning,19.0,8.0,42,9.523809523809524,4.3478260869565215,HIGH,0.16784735231190476
Calm,Open,17.0,9.0,228,5.263157894736844,4.31654676258993,HIGH,0.0662773165412281
Calm,Closing,21.0,6.0,66,7.575757575757577,4.310344827586208,HIGH,-0.5344298984503032
Calm,Closing,16.0,2.0,43,9.302325581395346,4.301075268817202,HIGH,0.04486011208604668
Moderate,Open,3.0,4.0,113,6.194690265486727,4.294478527607363,HIGH,0.04158407784778763
Moderate,Positioning,6.0,2.0,91,6.593406593406592,4.25531914893617,HIGH,0.2953926802175823
Calm,Survival,16.0,7.0,44,9.090909090909088,4.255319148936169,HIGH,-0.07124925309090893
Moderate,Closing,15.0,3.0,68,7.35294117647059,4.2372881355932215,HIGH,-0.558168649154706
Moderate,Positioning,16.0,9.0,45,8.888888888888891,4.210526315789474,HIGH,0.08025702489111113
Calm,Open,21.0,7.0,164,5.48780487804878,4.205607476635514,HIGH,0.1952584382998779
Moderate,Closing,8.0,1.0,141,5.6737588652482245,4.188481675392668,HIGH,-0.19743421524326224
Moderate,Closing,8.0,5.0,22,13.63636363636364,4.166666666666668,EXPLORATORY,-0.2545949407909089
Moderate,Closing,2.0,4.0,22,13.636363636363635,4.166666666666667,EXPLORATORY,0.3952496986545455
Calm,Closing,27.0,1.0,96,6.25,4.10958904109589,HIGH,-0.02516972942083336
Calm,Closing,13.0,2.0,96,6.25,4.10958904109589,HIGH,-0.08943475483333328
Moderate,Survival,5.0,2.0,145,5.517241379310348,4.102564102564105,HIGH,-0.25394016502372413
Calm,Closing,30.0,6.0,97,6.185567010309279,4.081632653061225,HIGH,-0.13579430692268046
Moderate,Survival,23.0,6.0,24,12.499999999999996,4.0540540540540535,EXPLORATORY,-1.2895551853333338
Moderate,Closing,16.0,1.0,25,12.0,4.0,EXPLORATORY,-0.46546672875199974
Calm,Open,27.0,8.0,151,5.298013245033115,3.980099502487564,HIGH,0.2158780015834435
Moderate,Closing,6.0,1.0,51,7.8431372549019605,3.9603960396039604,HIGH,-0.3753754856392156
Calm,Positioning,22.0,2.0,51,7.843137254901958,3.960396039603959,HIGH,0.4178535828803922
Moderate,Survival,1.0,5.0,78,6.41025641025641,3.9062499999999996,HIGH,0.194245961723077
Moderate,Positioning,25.0,1.0,27,11.11111111111111,3.896103896103896,EXPLORATORY,-0.6109538242037038
Moderate,Survival,16.0,9.0,130,5.384615384615382,3.888888888888887,HIGH,-0.01270683286384616
Calm,Open,6.0,9.0,53,7.547169811320753,3.883495145631067,HIGH,0.003407968575471526
Moderate,Positioning,13.0,4.0,105,5.714285714285716,3.870967741935485,HIGH,-0.3556480302280002
Tough,Survival,23.0,3.0,28,10.714285714285717,3.846153846153847,EXPLORATORY,-0.5620267459675002
Tough,Closing,23.0,1.0,2,100.0,3.8461538461538463,WEAK,-5.3507373516
Moderate,Positioning,10.0,9.0,2,100.0,3.8461538461538463,WEAK,-2.5672860481
Calm,Closing,1.0,3.0,2,100.0,3.8461538461538463,WEAK,-3.2751045358
Tough,Positioning,4.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.8166949932
Tough,Positioning,21.0,5.0,2,100.0,3.8461538461538463,WEAK,-3.02770740377
Calm,Positioning,1.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.2751045358
Tough,Survival,16.0,2.0,2,100.0,3.8461538461538463,WEAK,-3.992526910182
Tough,Open,13.0,5.0,2,100.0,3.8461538461538463,WEAK,-2.450741635645
Calm,Positioning,11.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.262284023
Moderate,Open,11.0,3.0,2,100.0,3.8461538461538463,WEAK,-6.2242787108
Calm,Closing,17.0,3.0,2,100.0,3.8461538461538463,WEAK,-2.2039114211
Moderate,Survival,12.0,3.0,2,100.0,3.8461538461538463,WEAK,-3.4311752625
