player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Francesco Laporta,Nathan Kimsey,Calm,Open,SKIP,Push,-4.1,-4.1,0.0,PUSH,
JC Ritchie,Brandon Stone,Calm,Open,SKIP,nan,-4.2,-4.2,0.0,SKIP,
Jacob Olesen,Martin Couvra,Moderate,Open,SKIP,Jacob Olesen,-3.6,-3.6,0.0,SKIP,
JC Ritchie,Rafa Cabrera Bello,Moderate,Open,Rafa Cabrera Bello,Rafa Cabrera Bello,-11.0,-11.0,0.0,WIN,True
Alejandro Del Rey,Julien Guerrier,Moderate,Open,SKIP,Push,-3.6,-3.6,0.0,PUSH,
Patrick Reed,Alex Fitzpatrick,Moderate,Open,Alex Fitzpatrick,Alex Fitzpatrick,-6.3,-6.3,0.0,WIN,True
Andy Sullivan,Jacques Kruyswijk,Moderate,Open,SKIP,Jacques Kruyswijk,1.1,1.1,0.0,SKIP,
Jayden Schaper,Hennie du Plessis,Moderate,Open,SKIP,Jayden Schaper,-5.1,-5.1,0.0,SKIP,
Richard Sterne,Deon Germishuys,Moderate,Open,Deon Germishuys,Richard Sterne,-6.5,-6.5,0.0,LOSS,False
Brandon Stone,Romain Langasque,Moderate,Open,Romain Langasque,Romain Langasque,-6.9,-6.9,0.0,WIN,True
Antoine Rozner,Marcus Armitage,Moderate,Open,Marcus Armitage,Marcus Armitage,-7.4,-7.4,0.0,WIN,True
Dan Bradbury,Johannes Veerman,Moderate,Open,Johannes Veerman,Dan Bradbury,-13.1,-13.1,0.0,LOSS,False
Jason Scrivener,Joe Dean,Moderate,Open,SKIP,Joe Dean,-3.6,-3.6,0.0,SKIP,
Sam Bairstow,Ugo Coussaud,Moderate,Open,SKIP,Push,-3.6,-3.6,0.0,PUSH,
Calum Hill,Ewen Ferguson,Moderate,Open,Ewen Ferguson,Push,-7.8,-7.8,0.0,PUSH,
Angel Ayora,Casey Jarvis,Moderate,Open,Casey Jarvis,Angel Ayora,-7.8,-7.8,0.0,LOSS,False
Francesco Laporta,Thriston Lawrence,Moderate,Open,SKIP,Francesco Laporta,-1.9,-1.9,0.0,SKIP,
Kieran Vincent,Jorge Campillo,Moderate,Open,Jorge Campillo,Kieran Vincent,-10.9,-10.9,0.0,LOSS,False
Daniel Bennett,Joel Dahmen,Calm,Open,SKIP,Daniel Bennett,-4.2,-4.2,0.0,SKIP,
Jhonattan Vegas,Tom Hoge,Calm,Open,SKIP,Jhonattan Vegas,-4.2,-4.2,0.0,SKIP,
Ryan Fox,Billy Horschel,Calm,Open,SKIP,Ryan Fox,-5.7,-5.7,0.0,SKIP,
