player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Sahith Theegala,Justin Rose,Moderate,Open,-7.67494000252621,0.0,-7.67494000252621,SKIP,Green,nan,25,25,75,25,25-50,25-50,75-100,25-50,-9.890109890109889,0.0,-5.459770114942531,0.0
Calum Hill,Brandon Robinson Thompson,Calm,Open,-7.629423036380654,0.0,-7.629423036380654,SKIP,Green,nan,50,50,75,75,50-75,50-75,75-100,75-100,-9.87284966342558,0.0,-5.385996409335728,0.0
Michael Kim,Patrick Rodgers,Tough,Closing,-9.593993325917687,-16.925232709438497,7.33123938352081,SKIP,Yellow,Blue,25,50,50,50,25-50,50-75,50-75,50-75,-5.747126436781609,-14.43298969072165,-13.440860215053764,-19.417475728155345
Jason Scrivener,Joe Dean,Moderate,Open,-7.18010032898105,0.0,-7.18010032898105,SKIP,Yellow,nan,25,75,50,75,25-50,75-100,50-75,75-100,-8.117752007136486,0.0,-6.2424486508256125,0.0
Joel Girrbach,Tapio Pulkkanen,Calm,Open,0.04897972911897308,-7.076348631915785,7.125328361034758,SKIP,Purple,Purple,25,50,75,50,25-50,50-75,75-100,50-75,2.2049286640726304,-7.493368700265252,-2.1069692058346843,-6.6593285635663175
Niklas Norgaard,Daniel van Tonder,Calm,Open,-7.076348631915785,0.04897972911897308,-7.125328361034758,SKIP,Purple,Purple,50,25,50,75,50-75,25-50,50-75,75-100,-7.493368700265252,2.2049286640726304,-6.6593285635663175,-2.1069692058346843
Kurt Kitayama,Sahith Theegala,Tough,Closing,-4.0,-11.09956546382014,7.09956546382014,SKIP,Orange,Purple,25,25,50,75,25-50,25-50,50-75,75-100,0.0,-4.477611940298508,-8.0,-17.72151898734177
Angel Ayora,Antoine Rozner,Calm,Open,-7.076348631915785,0.0,-7.076348631915785,SKIP,Purple,nan,50,50,50,50,50-75,50-75,50-75,50-75,-7.493368700265252,0.0,-6.6593285635663175,0.0
Joakim Lagergren,Jacques Kruyswijk,Calm,Open,-7.076348631915785,0.0,-7.076348631915785,SKIP,Purple,nan,50,25,50,50,50-75,25-50,50-75,50-75,-7.493368700265252,0.0,-6.6593285635663175,0.0
Niklas Norgaard,Ewen Ferguson,Calm,Open,-7.076348631915785,0.0,-7.076348631915785,SKIP,Purple,nan,50,25,50,50,50-75,25-50,50-75,50-75,-7.493368700265252,0.0,-6.6593285635663175,0.0
Johnny Keefer,Mac Meissner,Calm,Open,-7.076348631915785,0.0,-7.076348631915785,SKIP,Purple,nan,50,50,50,25,50-75,50-75,50-75,25-50,-7.493368700265252,0.0,-6.6593285635663175,0.0
Patrick Reed,Alex Fitzpatrick,Moderate,Open,-7.004717196146538,0.0,-7.004717196146538,SKIP,Blue,nan,50,25,50,75,50-75,25-50,50-75,75-100,-9.557661927330177,0.0,-4.451772464962899,0.0
Peter Uihlein,Paul Casey,Moderate,Open,-7.004717196146538,0.0,-7.004717196146538,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-9.557661927330177,0.0,-4.451772464962899,0.0
Victor Perez,Dustin Johnson,Moderate,Open,-7.004717196146538,0.0,-7.004717196146538,SKIP,Blue,nan,50,50,50,50,50-75,50-75,50-75,50-75,-9.557661927330177,0.0,-4.451772464962899,0.0
Denny McCarthy,Ryan Fox,Tough,Open,7.0023356090549775,0.0,7.0023356090549775,SKIP,Orange,nan,25,25,50,75,25-50,25-50,50-75,75-100,10.743801652892564,0.0,3.2608695652173907,0.0
Angel Ayora,Calum Hill,Calm,Open,-13.47647287232165,-6.654587793268107,-6.821885079053544,SKIP,Orange,Yellow,25,50,50,75,25-50,50-75,50-75,75-100,-15.048183839881396,-5.978538579458352,-11.904761904761903,-7.33063700707786
Xander Schauffele,Shane Lowry,Calm,Open,-6.759287348831288,0.0,-6.759287348831288,SKIP,Green,nan,25,75,50,75,25-50,75-100,50-75,75-100,-3.812316715542521,0.0,-9.706257982120055,0.0
Joost Luiten,Sean Crocker,Calm,Open,-6.759287348831288,0.0,-6.759287348831288,SKIP,Green,nan,25,25,50,50,25-50,25-50,50-75,50-75,-3.812316715542521,0.0,-9.706257982120055,0.0
