color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Pink,75-100,Calm,Mixed,-0.8086,5.1962,4,2,0.5,
Pink,75-100,Calm,Open,-0.8528,2.9844,49,20,0.2857,0.2585129781947218
Pink,75-100,Calm,Positioning,0.0355,2.8135,9,6,0.6667,0.8114325110152821
Pink,75-100,Calm,REMOVE,-0.7547,2.06,13,8,0.2308,0.5008763408121365
Pink,75-100,Calm,Survival,2.0518,3.8772,6,5,0.6667,0.057387511280361764
Pink,75-100,Moderate,Closing,-0.3518,2.1805,14,8,0.3571,0.48352269989012403
Pink,75-100,Moderate,Mixed,0.4644,1.4142,2,2,0.5,
Pink,75-100,Moderate,Open,0.6022,2.8021,7,5,0.5714,0.5747312679822065
Pink,75-100,Moderate,Positioning,-0.696,2.1833,9,6,0.3333,0.34797000271717615
Pink,75-100,Moderate,Survival,-1.0735,2.3918,18,7,0.2222,0.13305587764148583
Pink,75-100,Tough,Open,0.1255,2.2115,5,3,0.6,0.8359970905921142
Pink,75-100,Tough,Positioning,-1.7474,3.4641,4,2,0.5,
Pink,75-100,Tough,Survival,-0.4572,,1,1,0.0,
Purple,25-50,Calm,Closing,-1.3709,2.752,65,34,0.2923,0.001236464638506577
Purple,25-50,Calm,Mixed,0.0189,3.6247,23,19,0.4783,0.9068474329244867
Purple,25-50,Calm,Open,-0.1922,3.3771,152,72,0.4013,0.4644241726739394
Purple,25-50,Calm,Positioning,0.0164,2.7499,107,51,0.4766,0.4541736286786034
Purple,25-50,Calm,REMOVE,-1.0468,2.8129,54,28,0.2593,0.035187856008224855
Purple,25-50,Calm,Survival,-0.2085,3.43,103,56,0.3786,0.8463625421906295
Purple,25-50,Moderate,Closing,0.8556,3.2978,44,31,0.5682,0.1346761495035161
Purple,25-50,Moderate,Open,-0.2605,2.864,78,48,0.3205,0.5069634036711428
Purple,25-50,Moderate,Positioning,-0.2307,2.1576,21,13,0.619,0.4846877967072183
Purple,25-50,Moderate,REMOVE,0.5671,3.0797,22,11,0.6364,0.9461915776791779
Purple,25-50,Moderate,Survival,0.0099,2.3514,43,25,0.5581,0.9949300523937725
Purple,25-50,Tough,Closing,-1.0703,3.4928,5,4,0.6,0.1791298073582322
Purple,25-50,Tough,Open,3.0575,0.9574,4,3,1.0,
Purple,25-50,Tough,Survival,0.2052,2.6647,34,18,0.5294,0.399661896851185
Purple,50-75,Calm,Closing,-0.451,2.8487,1082,232,0.4159,0.012862723204381197
Purple,50-75,Calm,Elimination,0.2526,3.1481,80,38,0.5,0.7971023907306154
Purple,50-75,Calm,Mixed,0.0648,3.687,247,111,0.4737,0.5728962988363206
Purple,50-75,Calm,Open,-0.2752,3.1244,1997,343,0.4362,0.17738939871595888
Purple,50-75,Calm,Positioning,-0.2188,2.7814,1083,235,0.4645,0.7098858952570463
Purple,50-75,Calm,REMOVE,-0.0712,2.6618,328,125,0.4695,0.37045780124012745
Purple,50-75,Calm,Survival,-0.3722,2.9888,1386,308,0.4452,0.2040390912905533
Purple,50-75,Moderate,Closing,0.0117,2.7358,483,168,0.4824,0.18197956704524546
Purple,50-75,Moderate,Mixed,0.2644,2.4855,10,10,0.5,0.5517379473372284
Purple,50-75,Moderate,Open,-0.2463,2.8478,1171,284,0.421,0.020476664347456187
Purple,50-75,Moderate,Positioning,0.348,2.9351,623,207,0.5746,0.26881834078729283
Purple,50-75,Moderate,REMOVE,0.8076,2.5669,143,65,0.6154,0.2540678834316013
Purple,50-75,Moderate,Survival,-0.1185,3.1257,835,261,0.4766,0.23331489778272277
Purple,50-75,Tough,Closing,0.7335,3.0756,41,30,0.561,0.8258406554151851
Purple,50-75,Tough,Open,0.1055,2.5683,59,33,0.5593,0.5225668928288227
Purple,50-75,Tough,Positioning,0.5979,2.9012,105,60,0.581,0.6397378971556095
Purple,50-75,Tough,Survival,1.0203,2.9929,124,68,0.621,0.1460189608378589
Purple,75-100,Calm,Closing,-0.258,2.6797,410,150,0.5122,0.8184212282346103
Purple,75-100,Calm,Elimination,0.0176,1.6344,19,12,0.4211,0.8193313199140702
Purple,75-100,Calm,Mixed,-0.0585,3.7069,139,69,0.4245,0.981623094476847
