color,exec_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Orange,25-50,Tough,Closing,-0.7512,3.7712,18,11,0.3889,0.03687915695725997
Orange,25-50,Tough,Open,-0.8709,2.7488,102,44,0.3431,0.011842564963358834
Orange,25-50,Tough,Positioning,0.3123,3.4381,87,40,0.5517,0.6335282750167872
Orange,25-50,Tough,Survival,1.1662,2.7604,64,41,0.7344,0.13858222654207838
Orange,50-75,Calm,Closing,-0.1191,2.8742,750,187,0.4973,0.3242293402540394
Orange,50-75,Calm,Elimination,0.1934,3.0068,73,43,0.4521,0.9380030101546435
Orange,50-75,Calm,Mixed,0.3112,3.8078,171,78,0.5497,0.16920452021483562
Orange,50-75,Calm,Open,-0.6772,2.9573,1044,233,0.3697,0.0012084019254963935
Orange,50-75,Calm,Positioning,-0.3033,2.9326,731,183,0.4337,0.27020900800941766
Orange,50-75,Calm,REMOVE,0.0101,2.8912,295,114,0.5254,0.1880154051104458
Orange,50-75,Calm,Survival,-0.321,3.0292,742,207,0.4245,0.6226867952313833
Orange,50-75,Moderate,Closing,0.1198,2.8024,385,144,0.5117,0.6236981757053359
Orange,50-75,Moderate,Mixed,1.828,2.3779,11,11,0.7273,0.28550402337026387
Orange,50-75,Moderate,Open,-0.2159,2.9796,874,222,0.4554,0.08405998421484598
Orange,50-75,Moderate,Positioning,-0.2347,3.1647,372,143,0.5242,0.004250427564346956
Orange,50-75,Moderate,REMOVE,0.3457,2.5545,109,49,0.4862,0.5203341463757396
Orange,50-75,Moderate,Survival,0.1668,2.9381,862,230,0.5012,0.15493740374100726
Orange,50-75,Tough,Closing,-1.1321,3.0896,15,11,0.4667,0.017296528892357072
Orange,50-75,Tough,Open,-0.2238,3.0256,34,20,0.4118,0.8548345710945762
Orange,50-75,Tough,Positioning,0.023,2.4654,42,23,0.5238,0.3150315062282783
Orange,50-75,Tough,Survival,0.4063,2.7455,27,25,0.4444,0.6965385749352336
Orange,75-100,Calm,Closing,-0.4001,2.8051,166,61,0.4277,0.43263878760953317
Orange,75-100,Calm,Elimination,-1.9269,1.4079,8,5,0.0,0.036836382576998825
Orange,75-100,Calm,Mixed,-2.8711,2.8504,32,23,0.1562,4.627024529137277e-06
Orange,75-100,Calm,Open,0.3102,2.9636,264,81,0.5379,0.00023546800369015776
Orange,75-100,Calm,Positioning,0.4042,2.5282,140,64,0.4857,0.012568944870305094
Orange,75-100,Calm,REMOVE,0.5523,3.49,76,39,0.4474,0.021107925809513275
Orange,75-100,Calm,Survival,0.2772,3.2384,133,54,0.4737,0.03700326023029568
Orange,75-100,Moderate,Closing,-0.424,2.3787,26,15,0.4231,0.280151717463464
Orange,75-100,Moderate,Open,0.3186,3.1684,196,67,0.4847,0.1027355680007004
Orange,75-100,Moderate,Positioning,1.104,3.0666,37,19,0.6486,0.06257421001372711
Orange,75-100,Moderate,REMOVE,-2.3878,3.1231,7,6,0.1429,0.006907635814585347
Orange,75-100,Moderate,Survival,0.4178,2.9731,150,74,0.5467,0.1081442293640216
Orange,75-100,Tough,Closing,2.7297,2.3664,10,5,1.0,0.06208245575708104
Orange,75-100,Tough,Open,0.2746,1.1304,9,6,0.4444,0.6617025086870256
Orange,75-100,Tough,Positioning,1.1294,1.5275,3,3,0.6667,
Orange,75-100,Tough,Survival,2.3547,2.9277,7,7,0.8571,0.10889170879524826
Pink,0-25,Calm,Closing,0.9277,1.3954,12,12,0.5833,0.16139056484772035
Pink,0-25,Calm,Open,-1.1686,4.9468,6,5,0.3333,0.512691147004752
Pink,0-25,Calm,Positioning,-2.2105,1.7321,4,2,0.0,
Pink,0-25,Calm,REMOVE,0.5859,1.8604,4,3,0.5,
Pink,0-25,Calm,Survival,1.446,4.0311,4,4,0.5,
Pink,0-25,Moderate,Closing,1.6231,1.4869,11,6,0.8182,0.10450654804371727
Pink,0-25,Moderate,Open,0.3229,2.5076,11,7,0.6364,0.6930586697371067
Pink,0-25,Moderate,Survival,4.3778,,1,1,1.0,
Pink,25-50,Calm,Closing,-0.587,2.5318,34,20,0.3824,0.459847335005059
Pink,25-50,Calm,Elimination,-1.0647,2.8284,2,2,0.5,
Pink,25-50,Calm,Mixed,0.5485,1.7728,7,4,0.4286,0.6371494479920393
Pink,25-50,Calm,Open,-0.3586,3.3533,92,35,0.3696,0.9702480623362992
Pink,25-50,Calm,Positioning,-0.4304,3.3493,38,21,0.3947,0.5889708226820101
Pink,25-50,Calm,REMOVE,-0.5425,2.7161,28,17,0.3571,0.5513857805726997
Pink,25-50,Calm,Survival,-0.3513,3.067,33,15,0.3939,0.8694771335106273
Pink,25-50,Moderate,Closing,0.3479,2.9945,22,17,0.4091,0.8059068342860141
Pink,25-50,Moderate,Mixed,-0.5356,1.8257,4,4,0.5,
Pink,25-50,Moderate,Open,-0.0595,3.3486,30,16,0.4667,0.963486997463347
Pink,25-50,Moderate,Positioning,-1.0768,2.3666,25,18,0.28,0.02659598628070556
Pink,25-50,Moderate,REMOVE,2.9172,,1,1,1.0,
Pink,25-50,Moderate,Survival,-0.7193,3.0823,44,18,0.3409,0.11400885935862012
Pink,25-50,Tough,Open,0.1255,2.2115,5,3,0.6,0.8359970905921142
Pink,25-50,Tough,Positioning,0.5859,3.6013,12,6,0.5,0.8808236378525212
Pink,25-50,Tough,Survival,4.2814,0.0,2,1,1.0,
Pink,50-75,Calm,Closing,0.9101,3.8868,22,13,0.5909,0.06229731075966958
Pink,50-75,Calm,Elimination,0.9353,0.0,2,1,1.0,
Pink,50-75,Calm,Mixed,-0.4221,3.9133,8,4,0.5,0.769931044277853
Pink,50-75,Calm,Open,-1.2136,2.0784,18,11,0.2778,0.23091739620826957
Pink,50-75,Calm,Positioning,1.3243,2.7045,14,8,0.6429,0.042447155752285075
Pink,50-75,Calm,REMOVE,-1.488,1.5667,13,7,0.1538,0.11106381157763749
Pink,50-75,Calm,Survival,-3.2569,1.6452,7,6,0.0,0.008058658595833218
Pink,50-75,Moderate,Closing,-1.2599,1.9647,3,2,0.3333,
Pink,50-75,Moderate,Mixed,0.4644,1.4142,2,2,0.5,
Pink,50-75,Moderate,Open,0.0337,2.4394,11,5,0.4545,0.9400286790736553
Pink,50-75,Moderate,Positioning,-0.3069,4.0,5,3,0.4,0.6893359416880938
Pink,50-75,Moderate,REMOVE,0.9172,1.8708,5,4,0.6,0.7584243663140168
Pink,50-75,Moderate,Survival,-0.257,2.4928,25,12,0.6,0.6601438400322723
Pink,50-75,Tough,Survival,-0.4572,,1,1,0.0,
Pink,75-100,Calm,Closing,0.1409,4.2426,2,2,0.5,
Pink,75-100,Calm,Mixed,2.6914,2.8284,2,2,1.0,
Pink,75-100,Calm,Open,0.1635,1.0328,6,3,0.6667,0.6615081427931649
Pink,75-100,Calm,Positioning,1.1512,2.3094,3,3,0.6667,
Pink,75-100,Calm,REMOVE,-1.4927,0.0,2,1,0.0,
Pink,75-100,Moderate,Survival,-3.8833,,1,1,0.0,
Purple,0-25,Calm,Closing,-0.2543,2.8284,2,2,0.5,
Purple,0-25,Calm,Open,-2.1612,,1,1,0.0,
Purple,0-25,Calm,Positioning,-6.7105,0.0,2,1,0.0,
Purple,0-25,Calm,REMOVE,-3.1053,2.2087,8,4,0.25,0.004499815125731331
Purple,0-25,Calm,Survival,3.196,1.4142,2,2,1.0,
Purple,0-25,Moderate,Closing,1.9422,,1,1,1.0,
Purple,0-25,Moderate,Open,2.9729,1.5366,5,3,1.0,0.025060386102595582
Purple,0-25,Moderate,Survival,-2.6222,1.7321,3,2,0.0,
Purple,25-50,Calm,Closing,-0.6015,2.8455,437,150,0.4188,0.00679823278729055
Purple,25-50,Calm,Elimination,0.0863,3.1481,45,23,0.4444,0.8541833574420706
Purple,25-50,Calm,Mixed,0.1255,3.5498,141,78,0.4823,0.5221338193502714
Purple,25-50,Calm,Open,-0.4842,3.011,845,228,0.3858,0.2777958083306415
Purple,25-50,Calm,Positioning,-0.07,2.8502,531,167,0.4878,0.3489497158613612
Purple,25-50,Calm,REMOVE,-0.3184,2.6317,139,64,0.4604,0.6850471698105572
Purple,25-50,Calm,Survival,-0.4143,3.1771,674,213,0.3917,0.20776726512195678
Purple,25-50,Moderate,Closing,0.3921,3.2234,218,91,0.5275,0.32798653591145643
Purple,25-50,Moderate,Mixed,0.2644,2.4855,10,10,0.5,0.5517379473372284
Purple,25-50,Moderate,Open,-0.226,2.8682,401,141,0.409,0.20777959304976565
Purple,25-50,Moderate,Positioning,0.1495,3.0394,232,94,0.5517,0.7472719520941566
Purple,25-50,Moderate,REMOVE,0.5039,2.4185,72,33,0.5,0.948670098605909
Purple,25-50,Moderate,Survival,-0.0377,3.056,287,131,0.446,0.7823763513237485
Purple,25-50,Tough,Closing,0.4228,2.6172,17,12,0.6471,0.5859431454065386
Purple,25-50,Tough,Open,1.1862,1.5938,13,6,0.6923,0.09000726851376888
Purple,25-50,Tough,Positioning,0.7426,2.75,31,17,0.5806,0.5841777675894265
Purple,25-50,Tough,Survival,0.1561,2.7703,57,40,0.4561,0.22868384861679386
Purple,50-75,Calm,Closing,-0.2766,2.7892,956,239,0.455,0.5916484674614858
Purple,50-75,Calm,Elimination,0.4568,2.5253,53,27,0.5283,0.4663593014540707
Purple,50-75,Calm,Mixed,0.2994,3.6664,213,100,0.493,0.13951074522003287
Purple,50-75,Calm,Open,-0.2903,3.089,1745,324,0.4447,0.2855007830525868
Purple,50-75,Calm,Positioning,-0.2002,2.7542,980,231,0.4633,0.8768654556658838
Purple,50-75,Calm,REMOVE,-0.1832,2.733,298,116,0.4262,0.838721236345474
Purple,50-75,Calm,Survival,-0.3049,2.9616,1142,281,0.4518,0.6687242982083135
Purple,50-75,Moderate,Closing,-0.0274,2.8795,451,168,0.4678,0.11803203973553156
Purple,50-75,Moderate,Mixed,2.8394,3.9978,8,8,0.75,0.07349081539903864
Purple,50-75,Moderate,Open,-0.0888,2.9225,1060,284,0.4481,0.5705614204515088
Purple,50-75,Moderate,Positioning,0.4401,2.8183,499,183,0.5731,0.09207933752797054
Purple,50-75,Moderate,REMOVE,0.9554,2.606,122,53,0.5984,0.10671151045689514
Purple,50-75,Moderate,Survival,-0.0698,3.119,779,245,0.4968,0.4677653789271954
Purple,50-75,Tough,Closing,0.7472,2.998,61,42,0.5902,0.8160571521041367
Purple,50-75,Tough,Open,0.3087,2.9582,103,57,0.5534,0.13148251192772573
Purple,50-75,Tough,Positioning,0.3109,3.0888,96,55,0.5833,0.6111933616007464
Purple,50-75,Tough,Survival,0.9224,2.8857,158,79,0.6456,0.22138514333637863
Purple,75-100,Calm,Closing,-0.9572,2.7481,162,73,0.3704,0.0011740355343294736
Purple,75-100,Calm,Elimination,-7.5519,,1,1,0.0,
Purple,75-100,Calm,Mixed,-1.3304,3.8451,55,30,0.2545,0.007204965316019542
Purple,75-100,Calm,Open,-0.2297,3.0141,263,120,0.4183,0.44818432632315885
Purple,75-100,Calm,Positioning,-0.0659,2.5422,139,67,0.4245,0.6130945448872819
Purple,75-100,Calm,REMOVE,0.3597,2.4937,29,15,0.5862,0.2797408627862684
Purple,75-100,Calm,Survival,-0.0927,3.0806,269,116,0.4833,0.34632410203109354
Purple,75-100,Moderate,Closing,0.5913,2.5554,93,53,0.5484,0.19250668199426166
Purple,75-100,Moderate,Open,-0.2208,2.9777,215,99,0.4605,0.3664559355246269
Purple,75-100,Moderate,Positioning,-0.077,2.695,102,51,0.5294,0.31791080547204575
Purple,75-100,Moderate,REMOVE,0.7367,2.6162,48,25,0.625,0.6122284815570883
Purple,75-100,Moderate,Survival,-0.436,3.3506,131,79,0.458,0.09619705402550753
Purple,75-100,Tough,Open,0.1635,0.5774,3,2,0.3333,
Purple,75-100,Tough,Positioning,0.9967,3.3636,16,11,0.5,0.451144932838339
Red,0-25,Calm,Closing,-0.2543,,1,1,0.0,
Red,0-25,Calm,Open,-2.1612,,1,1,0.0,
Red,0-25,Calm,Survival,-5.804,,1,1,0.0,
Red,0-25,Moderate,Closing,-2.0578,,1,1,0.0,
Red,0-25,Moderate,Open,-1.1771,,1,1,0.0,
Red,0-25,Moderate,Survival,2.3778,,1,1,1.0,
Red,25-50,Calm,Closing,0.0157,2.867,98,45,0.5102,0.40512126922540437
Red,25-50,Calm,Mixed,1.8434,1.6364,10,5,0.8,0.07977009372728945
Red,25-50,Calm,Open,-0.5702,2.6556,164,63,0.3476,0.3927608124927139
Red,25-50,Calm,Positioning,0.5018,3.0172,98,38,0.551,0.014946782491167434
Red,25-50,Calm,REMOVE,-0.6337,2.4037,43,25,0.3721,0.34458682821629694
Red,25-50,Calm,Survival,-0.5777,3.2413,159,59,0.3648,0.1905331395783636
Red,25-50,Moderate,Closing,1.2934,3.371,54,31,0.6296,0.005942323079403903
Red,25-50,Moderate,Mixed,2.4644,4.2426,2,2,0.5,
Red,25-50,Moderate,Open,-0.311,3.3662,87,39,0.3678,0.392062577339204
Red,25-50,Moderate,Positioning,0.5332,3.1328,56,24,0.5357,0.4105391770636815
Red,25-50,Moderate,REMOVE,-1.0388,1.4258,4,2,0.5,
Red,25-50,Moderate,Survival,0.3903,3.2321,58,32,0.5172,0.35013883562524467
Red,25-50,Tough,Positioning,0.2307,4.8115,8,4,0.25,0.8157779327645631
Red,25-50,Tough,Survival,0.6678,0.991,8,7,0.875,0.9642457696440665
Red,50-75,Calm,Closing,0.5629,2.7317,148,63,0.5203,0.00083329565144995
Red,50-75,Calm,Elimination,1.4966,2.2152,28,18,0.8571,0.013972424468522595
Red,50-75,Calm,Mixed,-0.4424,3.7074,52,29,0.3269,0.4351457834180793
Red,50-75,Calm,Open,0.1152,3.2074,346,95,0.4538,0.002758688636567843
Red,50-75,Calm,Positioning,-0.1399,2.869,222,81,0.5225,0.8076913425186112
