player_name,condition,round_type,color,element,exec_bucket,upside_bucket,chinese_zodiac,combo_events,combo_wr,baseline_wr,delta,delta_pct
Andrew Novak,Calm,Survival,Yellow,Wood,50,75,Pig,7,0.429,0.265,0.16399999999999998,16.4
Lucas Herbert,Calm,Open,Yellow,Wood,50,50,Pig,5,0.4,0.237,0.16300000000000003,16.3
Justin Lower,Calm,Open,Blue,Earth,50,50,Snake,5,0.4,0.237,0.16300000000000003,16.3
Justin Lower,Calm,Open,Blue,Earth,25,75,Snake,5,0.4,0.237,0.16300000000000003,16.3
Adam Long,Calm,Open,Purple,Fire,50,50,Rabbit,6,0.333,0.172,0.16100000000000003,16.1
Lucas Glover,Calm,Closing,Orange,Earth,25,50,Goat,7,0.429,0.269,0.15999999999999998,16.0
Camilo Villegas,Calm,Survival,Purple,Metal,50,50,Rooster,6,0.333,0.174,0.15900000000000003,15.9
Cameron Champ,Calm,Open,Blue,Wood,50,50,Pig,5,0.4,0.242,0.15800000000000003,15.8
Maverick McNealy,Calm,Open,Orange,Wood,25,50,Pig,6,0.5,0.342,0.15799999999999997,15.8
Billy Horschel,Calm,Open,Yellow,Fire,50,50,Tiger,9,0.444,0.287,0.15700000000000003,15.7
Kevin Yu,Calm,Positioning,Yellow,Earth,50,50,Tiger,8,0.5,0.346,0.15400000000000003,15.4
Patrick Rodgers,Calm,Open,Blue,Water,50,75,Monkey,5,0.4,0.246,0.15400000000000003,15.4
Sam Stevens,Calm,Survival,Yellow,Fire,25,50,Rat,7,0.429,0.275,0.15399999999999997,15.4
Harry Hall,Calm,Open,Yellow,Fire,50,50,Ox,6,0.5,0.347,0.15300000000000002,15.3
Hideki Matsuyama,Calm,Positioning,Yellow,Water,50,75,Monkey,6,0.5,0.347,0.15300000000000002,15.3
Matt Wallace,Calm,Open,Green,Metal,50,50,Horse,7,0.429,0.276,0.15299999999999997,15.3
Zach Johnson,Calm,Open,Red,Fire,50,50,Dragon,5,0.4,0.248,0.15200000000000002,15.2
Zach Johnson,Calm,Survival,Yellow,Fire,50,75,Dragon,5,0.4,0.248,0.15200000000000002,15.2
Andrew Putnam,Calm,Survival,Yellow,Earth,25,75,Dragon,5,0.4,0.248,0.15200000000000002,15.2
Nicolai Højgaard,Calm,Survival,Yellow,Metal,50,50,Snake,5,0.4,0.248,0.15200000000000002,15.2
Chad Ramey,Calm,Positioning,Purple,Water,50,50,Monkey,7,0.429,0.277,0.15199999999999997,15.2
Troy Merritt,Calm,Open,Yellow,Wood,50,50,Ox,13,0.385,0.234,0.151,15.1
Chandler Phillips,Calm,Open,Yellow,Fire,75,50,Rat,5,0.4,0.25,0.15000000000000002,15.0
Tyler Duncan,Calm,Open,Blue,Earth,50,75,Snake,5,0.4,0.25,0.15000000000000002,15.0
Tyler Duncan,Calm,Open,Blue,Earth,50,50,Snake,5,0.4,0.25,0.15000000000000002,15.0
K.H. Lee,Calm,Open,Yellow,Metal,50,50,Goat,10,0.4,0.251,0.14900000000000002,14.9
Mackenzie Hughes,Calm,Open,Yellow,Metal,50,50,Horse,5,0.4,0.251,0.14900000000000002,14.9
K.H. Lee,Calm,Survival,Yellow,Metal,25,75,Goat,5,0.4,0.251,0.14900000000000002,14.9
Cameron Young,Calm,Open,Blue,Fire,50,50,Ox,6,0.5,0.351,0.14900000000000002,14.9
Cameron Young,Calm,Open,Purple,Fire,50,50,Ox,6,0.5,0.351,0.14900000000000002,14.9
Tom Hoge,Calm,Closing,Yellow,Earth,50,75,Snake,5,0.4,0.253,0.14700000000000002,14.7
