player_a,player_b,condition,round_type,gap,prediction,actual_winner,result,correct
Ryan Gerard,Chad Ramey,Moderate,Closing,-6.783741370396276,SKIP,Push,PUSH,
Jacob Bridgeman,Sepp Straka,Moderate,Closing,6.724201325037407,SKIP,Sepp Straka,SKIP,
Patrick Cantlay,J.T. Poston,Moderate,Closing,6.724201325037407,SKIP,Patrick Cantlay,SKIP,
Sam Bairstow,Ugo Coussaud,Moderate,Open,6.720373887733843,SKIP,Push,PUSH,
Ugo Coussaud,Sebastian Garcia Rodriguez,Calm,Open,6.70356752238708,SKIP,Sebastian Garcia Rodriguez,SKIP,
Ugo Coussaud,Sebastian Garcia Rodriguez,Calm,Open,6.70356752238708,SKIP,Sebastian Garcia Rodriguez,SKIP,
Aaron Cockerill,Stefano Mazzoli,Calm,Open,-6.70356752238708,SKIP,Aaron Cockerill,SKIP,
Aaron Cockerill,Stefano Mazzoli,Calm,Open,-6.70356752238708,SKIP,Push,PUSH,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,6.613258421519908,SKIP,Matt Fitzpatrick,SKIP,
Matt Fitzpatrick,Jake Knapp,Moderate,Open,6.613258421519908,SKIP,Matt Fitzpatrick,SKIP,
Matt Fitzpatrick,Justin Rose,Moderate,Open,-6.612379839877299,SKIP,Justin Rose,SKIP,
Harris English,Collin Morikawa,Moderate,Open,6.612379839877299,SKIP,Collin Morikawa,SKIP,
Kiradech Aphibarnrat,Shubhankar Sharma,Calm,Survival,-6.576762514770721,SKIP,Shubhankar Sharma,SKIP,
Kiradech Aphibarnrat,Shubhankar Sharma,Calm,Survival,-6.576762514770721,SKIP,Kiradech Aphibarnrat,SKIP,
Oliver Lindell,Bernd Wiesberger,Tough,Positioning,-6.528199773541388,SKIP,Oliver Lindell,SKIP,
Johnny Keefer,Mac Meissner,Calm,Open,-6.505003165282361,SKIP,Johnny Keefer,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,Jordan Spieth,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,Jordan Spieth,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,Jordan Spieth,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,,SKIP,
Jordan Spieth,Sam Stevens,Calm,Survival,6.503717642224885,SKIP,Jordan Spieth,SKIP,
Harris English,Shane Lowry,Moderate,Positioning,6.494097567913526,SKIP,Shane Lowry,SKIP,
Sepp Straka,Jake Knapp,Moderate,Positioning,-6.451282129538936,SKIP,Jake Knapp,SKIP,
Sepp Straka,Jake Knapp,Moderate,Positioning,-6.451282129538936,SKIP,Jake Knapp,SKIP,
Frederic Lacroix,Joakim Lagergren,Calm,Open,-6.400124240405866,SKIP,Joakim Lagergren,SKIP,
Frederic Lacroix,Joakim Lagergren,Calm,Open,-6.400124240405866,SKIP,Frederic Lacroix,SKIP,
Austin Smotherman,Tommy Fleetwood,Calm,Positioning,6.391714432233481,SKIP,Tommy Fleetwood,SKIP,
Andrew Putnam,Alex Noren,Calm,Positioning,6.391714432233481,SKIP,Alex Noren,SKIP,
Ryo Hisatsune,Daniel Bennett,Calm,Positioning,-6.391714432233481,SKIP,Ryo Hisatsune,SKIP,
Ewen Ferguson,Oliver Lindell,Calm,Positioning,6.391714432233481,SKIP,Ewen Ferguson,SKIP,
Ewen Ferguson,Oliver Lindell,Calm,Positioning,6.391714432233481,SKIP,Ewen Ferguson,SKIP,
Alejandro Del Rey,Romain Langasque,Calm,Positioning,6.391714432233481,SKIP,Romain Langasque,SKIP,
Alejandro Del Rey,Romain Langasque,Calm,Positioning,6.391714432233481,SKIP,Alejandro Del Rey,SKIP,
Collin Morikawa,Rickie Fowler,Calm,Positioning,-6.391714432233481,SKIP,Rickie Fowler,SKIP,
Collin Morikawa,Rickie Fowler,Calm,Positioning,-6.391714432233481,SKIP,Collin Morikawa,SKIP,
Min Woo Lee,Cameron Young,Calm,Positioning,6.391714432233481,SKIP,Cameron Young,SKIP,
Jhonattan Vegas,Collin Morikawa,Calm,Positioning,-6.388984105544964,SKIP,Collin Morikawa,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Corey Conners,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Corey Conners,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Harry Hall,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Corey Conners,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Corey Conners,SKIP,
Harry Hall,Corey Conners,Calm,Survival,-6.333769233061035,SKIP,Harry Hall,SKIP,
Rasmus Hojgaard,Daniel Berger,Moderate,Positioning,-6.323542109861588,SKIP,Rasmus Hojgaard,SKIP,
Xander Schauffele,Russell Henley,Tough,Open,6.316075321623597,SKIP,Xander Schauffele,SKIP,
Xander Schauffele,Russell Henley,Tough,Open,6.316075321623597,SKIP,Russell Henley,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Denny McCarthy,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Denny McCarthy,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Taylor Pendrith,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Denny McCarthy,SKIP,
Taylor Pendrith,Denny McCarthy,Calm,Survival,-6.307843050015034,SKIP,Denny McCarthy,SKIP,
