color,exec_bucket,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Yellow,25-50,REMOVE,0.0438,3.053,516,150,0.4671,0.658877881509577
Yellow,25-50,Survival,-0.144,2.9218,2607,361,0.4603,0.716598667737046
Yellow,50-75,Closing,-0.0816,2.8999,4067,375,0.478,0.45543973850920644
Yellow,50-75,Elimination,0.3692,3.0295,141,62,0.4326,0.43763530134715073
Yellow,50-75,Mixed,0.0486,3.103,583,194,0.4305,0.631524850539466
Yellow,50-75,Open,-0.2691,2.9623,7288,457,0.4352,0.44630959027375566
Yellow,50-75,Positioning,-0.005,2.7621,3943,367,0.4928,0.7236985497333198
Yellow,50-75,REMOVE,-0.1344,2.9382,1051,244,0.4662,0.22089260226427904
Yellow,50-75,Survival,-0.0515,3.0007,6382,453,0.4723,0.0952191182959406
Yellow,75-100,Closing,0.1006,2.9288,741,195,0.4777,0.1826879476512423
Yellow,75-100,Elimination,0.1981,3.8926,24,13,0.4583,0.95735006396102
Yellow,75-100,Mixed,0.2044,3.5253,89,47,0.3483,0.534293951130086
Yellow,75-100,Open,-0.2969,2.9999,1141,267,0.4233,0.5249510173837008
Yellow,75-100,Positioning,0.0006,3.0153,800,209,0.45,0.8214764422109456
Yellow,75-100,REMOVE,-0.1597,2.7031,201,78,0.4279,0.48382785536265227
Yellow,75-100,Survival,-0.0099,3.1791,1032,288,0.5,0.24440956978338754
