player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Alejandro Del Rey,Julien Guerrier,-0.735,3.55,Julien Guerrier,Push,
Patrick Reed,Alex Fitzpatrick,0.44999999999999996,-2.9050000000000002,Patrick Reed,Alex Fitzpatrick,False
Andy Sullivan,Jacques Kruyswijk,-0.93,-6.1899999999999995,Andy Sullivan,Jacques Kruyswijk,False
Jayden Schaper,Hennie du Plessis,0.245,-1.795,Jayden Schaper,Jayden Schaper,True
Richard Sterne,Deon Germishuys,0.41999999999999993,0.245,Richard Sterne,Richard Sterne,True
Brandon Stone,Romain Langasque,3.55,-2.775,Brandon Stone,Romain Langasque,False
Antoine Rozner,Marcus Armitage,-2.9050000000000002,6.545,Marcus Armitage,Marcus Armitage,True
Dan Bradbury,Johannes Veerman,-0.93,0.44999999999999996,Johannes Veerman,Dan Bradbury,False
Jason Scrivener,Joe Dean,-2.775,3.55,Joe Dean,Joe Dean,True
Sam Bairstow,Ugo Coussaud,3.55,-5.8149999999999995,Sam Bairstow,Push,
Calum Hill,Ewen Ferguson,-0.735,-2.9050000000000002,Calum Hill,Push,
Angel Ayora,Casey Jarvis,-1.795,0.44999999999999996,Casey Jarvis,Angel Ayora,False
Francesco Laporta,Thriston Lawrence,3.575,-1.795,Francesco Laporta,Francesco Laporta,True
Kieran Vincent,Jorge Campillo,3.55,6.52,Jorge Campillo,Kieran Vincent,False
Daniel Bennett,Joel Dahmen,0.16999999999999998,-1.4000000000000001,Daniel Bennett,Daniel Bennett,True
Jhonattan Vegas,Tom Hoge,0.16999999999999998,-1.4000000000000001,Jhonattan Vegas,Jhonattan Vegas,True
Ryan Fox,Billy Horschel,0.98,0.16999999999999998,Ryan Fox,Ryan Fox,True
Brian Campbell,Patrick Rodgers,-3.915,-3.915,Patrick Rodgers,Brian Campbell,False
Matt McCarty,Max Greyserman,1.23,1.105,Matt McCarty,Max Greyserman,False
Taylor Moore,Andrew Putnam,0.98,0.16999999999999998,Taylor Moore,Taylor Moore,True
Daniel Berger,Alex Noren,1.8399999999999999,-3.915,Daniel Berger,Daniel Berger,True
Min Woo Lee,Michael Thorbjornsen,1.4849999999999999,1.105,Min Woo Lee,Min Woo Lee,True
Harry Hall,Corey Conners,0.98,-0.1449999999999999,Harry Hall,Corey Conners,False
Cameron Young,Sepp Straka,0.044999999999999984,1.105,Sepp Straka,Cameron Young,False
Harris English,Patrick Cantlay,-1.4000000000000001,1.105,Patrick Cantlay,Harris English,False
Andrew Novak,Robert MacIntyre,0.98,1.105,Robert MacIntyre,Robert MacIntyre,True
Brian Harman,Akshay Bhatia,0.044999999999999984,0.044999999999999984,Akshay Bhatia,Akshay Bhatia,True
Collin Morikawa,Justin Rose,1.8399999999999999,-1.4000000000000001,Collin Morikawa,Collin Morikawa,True
Xander Schauffele,Shane Lowry,0.85,-1.725,Xander Schauffele,Xander Schauffele,True
Scottie Scheffler,Russell Henley,0.044999999999999984,-0.6749999999999999,Scottie Scheffler,Push,
Aldrich Potgieter,Adam Scott,0.16999999999999998,0.044999999999999984,Aldrich Potgieter,Adam Scott,False
J.T. Poston,Keith Mitchell,1.105,-2.86,J.T. Poston,Keith Mitchell,False
Nicolai Hojgaard,Austin Smotherman,-1.4000000000000001,1.4849999999999999,Austin Smotherman,,
Si Woo Kim,Bud Cauley,0.044999999999999984,0.98,Bud Cauley,Bud Cauley,True
Lucas Glover,Ryo Hisatsune,-2.86,0.044999999999999984,Ryo Hisatsune,Ryo Hisatsune,True
Ryan Gerard,Jason Day,4.895,-1.4000000000000001,Ryan Gerard,Jason Day,False
Taylor Pendrith,Denny McCarthy,0.98,-1.4000000000000001,Taylor Pendrith,Denny McCarthy,False
Kurt Kitayama,Pierceson Coody,-1.4000000000000001,0.16999999999999998,Pierceson Coody,Kurt Kitayama,False
Jordan Spieth,Sam Stevens,0.044999999999999984,-0.6749999999999999,Jordan Spieth,Jordan Spieth,True
Jake Knapp,Matt Fitzpatrick,4.895,-0.1449999999999999,Jake Knapp,Jake Knapp,True
Sam Burns,Sungjae Im,0.98,-1.4000000000000001,Sam Burns,Sam Burns,True
J.J. Spaun,Nick Taylor,0.044999999999999984,0.044999999999999984,Nick Taylor,Nick Taylor,True
Keegan Bradley,Maverick McNealy,-0.6749999999999999,1.105,Maverick McNealy,Maverick McNealy,True
Ben Griffin,Tommy Fleetwood,-0.6749999999999999,0.85,Tommy Fleetwood,Ben Griffin,False
Nico Echavarria,Ludvig Aberg,0.98,1.23,Ludvig Aberg,Ludvig Aberg,True
Jacob Bridgeman,Chris Gotterup,1.105,1.105,Chris Gotterup,Chris Gotterup,True
Justin Thomas,Hideki Matsuyama,0.98,0.98,Hideki Matsuyama,Hideki Matsuyama,True
Rory McIlroy,Viktor Hovland,-1.4000000000000001,1.105,Viktor Hovland,Rory McIlroy,False
Rickie Fowler,Michael Kim,1.105,-1.4000000000000001,Rickie Fowler,Rickie Fowler,True
Chris Kirk,Sahith Theegala,4.895,-0.1449999999999999,Chris Kirk,Sahith Theegala,False
Abraham Ancer,Carlos Ortiz,0.044999999999999984,1.4849999999999999,Carlos Ortiz,Carlos Ortiz,True
Sergio Garcia,Peter Uihlein,-0.1449999999999999,1.065,Peter Uihlein,Push,
Talor Gooch,Byeong-Hun An,1.4749999999999999,0.044999999999999984,Talor Gooch,Talor Gooch,True
Dustin Johnson,Paul Casey,-3.915,1.8399999999999999,Paul Casey,Paul Casey,True
Marc Leishman,Elvis Smylie,0.5700000000000001,0.98,Elvis Smylie,Marc Leishman,False
