player_a,player_b,player_c,condition,round_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c,score_a,score_b,score_c,best_player,best_vs_second,filter_0pct,filter_0.5pct,filter_1pct,filter_2pct,filter_5pct,filter_8pct,actual_winner,result_type,win_indicator,pl
Sebastian Garcia Rodriguez,Martin Vorster,Hennie O'Kennedy,Moderate,Open,Yellow,Yellow,Yellow,50,79,50,50.0,78.0,75.0,-8.127067722374239,-0.120672389932154,-8.815040377057523,B,8.006395332442086,True,True,True,True,True,True,Sebastian Garcia Rodriguez,LOSS,0,-100.0
Michael Hollick,Zander Lombard,Nikhil Rama,Moderate,Open,Orange,Yellow,Yellow,25,49,50,75.0,56.0,75.0,0.7982740021574942,-7.18010032898105,-8.815040377057523,A,7.978374331138544,True,True,True,True,True,False,Zander Lombard,LOSS,0,-100.0
Angel Hidalgo,Jaco Ahlers,Darius van Driel,Moderate,Open,Orange,Yellow,Blue,25,57,50,75.0,93.0,50.0,0.7982740021574942,-8.815040377057523,-7.004717196146538,A,7.802991198304032,True,True,True,True,True,False,Darius van Driel,LOSS,0,-100.0
David Law,Jaco Prinsloo,Ugo Coussaud,Moderate,Open,Orange,Blue,Green,25,60,25,75.0,73.0,50.0,0.7982740021574942,-7.004717196146538,-6.841046277665997,A,7.639320279823491,True,True,True,True,True,False,,2WAY_PUSH_WIN,1,95.0
Frederic Lacroix,Zander Lombard,Alex Fitzpatrick,Calm,Open,Orange,Yellow,Orange,25,55,25,50.0,62.0,50.0,-13.47647287232165,-6.103294108272843,-13.47647287232165,B,7.373178764048808,True,True,True,True,True,False,Frederic Lacroix,LOSS,0,-100.0
Joe Dean,Bernd Wiesberger,Nikhil Rama,Calm,Open,Blue,Yellow,Yellow,50,52,50,25.0,45.0,50.0,-5.3375568192274425,1.9508504707498648,-6.103294108272843,B,7.288407289977307,True,True,True,True,True,False,Joe Dean,LOSS,0,-100.0
Emiliano Grillo,Charley Hoffman,Danny Willett,Calm,Open,Blue,Yellow,Blue,25,34,50,25.0,40.0,50.0,-5.169521856763286,2.041197236107569,-6.2880345882637325,B,7.210719092870855,True,True,True,True,True,False,Emiliano Grillo,LOSS,0,-100.0
Ben Schmidt,Kyle McClatchie,Luke Jerling,Moderate,Open,Yellow,Yellow,Blue,25,79,50,50.0,78.0,75.0,-7.18010032898105,-0.120672389932154,-8.712020618837501,B,7.059427939048896,True,True,True,True,True,False,Ben Schmidt,LOSS,0,-100.0
Ricardo Gouveia,James Morrison,Keenan Davidse,Moderate,Open,Yellow,Yellow,Yellow,25,60,75,50.0,73.0,75.0,-7.18010032898105,-8.127067722374239,-0.120672389932154,C,7.059427939048896,True,True,True,True,True,False,James Morrison,LOSS,0,-100.0
Cameron Tringale,Adrian Meronk,Laurie Canter,Calm,Open,Yellow,Yellow,Yellow,50,34,75,50.0,40.0,50.0,-6.103294108272843,2.041197236107569,-5.01811508652674,B,7.05931232263431,True,True,True,True,True,False,Adrian Meronk,WIN,1,187.0
Branden Grace,Tyrrell Hatton,Harold Varner III,Calm,Open,Yellow,Yellow,Yellow,50,79,25,50.0,65.0,25.0,-6.103294108272843,-5.01811508652674,2.041197236107569,C,7.05931232263431,True,True,True,True,True,False,Branden Grace,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Aldrich Potgieter,Ryan Fox,Sam Stevens,Tough,Open,Yellow,Green,Yellow,25,48,50,50.0,78.0,75.0,11.986426999266325,4.937862468931233,-0.5319148936170224,A,7.048564530335091,True,True,True,True,True,False,Ryan Fox,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
Russell Henley,Harris English,Corey Conners,Tough,Open,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0,0.0669034017806595,11.986426999266325,4.937862468931233,B,7.048564530335091,True,True,True,True,True,False,Corey Conners,LOSS,0,-100.0
