player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Chad Ramey,Seamus Power,Moderate,Positioning,-0.14249999999999996,3.5995,3.5995,-0.14249999999999996,3.742,Seamus Power,Chad Ramey,False
Michael Brennan,Aaron Rai,Moderate,Positioning,-3.4855000000000005,3.5995,3.5995,-3.4855000000000005,7.085000000000001,Aaron Rai,Aaron Rai,True
William Mouw,Hank Lebioda,Moderate,Positioning,6.6515,6.125,6.6515,6.125,0.5265000000000004,William Mouw,William Mouw,True
Garrick Higgo,Tom Kim,Moderate,Positioning,-2.159,1.309,1.309,-2.159,3.468,Tom Kim,Garrick Higgo,False
Shane Lowry,Nico Echavarria,Moderate,Positioning,-1.0605,-3.4915000000000003,-1.0605,-3.4915000000000003,2.431,Shane Lowry,Shane Lowry,True
Kristoffer Reitan,Joel Dahmen,Moderate,Positioning,-2.159,6.6515,6.6515,-2.159,8.810500000000001,Joel Dahmen,Joel Dahmen,True
Mark Hubbard,A.J. Ewart,Moderate,Positioning,6.6515,1.309,6.6515,1.309,5.3425,Mark Hubbard,A.J. Ewart,False
Taylor Moore,Austin Smotherman,Moderate,Positioning,-0.14249999999999996,6.6515,6.6515,-0.14249999999999996,6.7940000000000005,Austin Smotherman,Taylor Moore,False
Wenyi Ding,Alex Fitzpatrick,Calm,Positioning,-0.604,-0.604,-0.604,-0.604,0.0,Alex Fitzpatrick,Alex Fitzpatrick,True
Antoine Rozner,Patrick Reed,Calm,Positioning,-2.1885,3.3785,3.3785,-2.1885,5.567,Patrick Reed,Patrick Reed,True
Todd Clements,Jason Scrivener,Calm,Positioning,0.8724999999999999,0.8724999999999999,0.8724999999999999,0.8724999999999999,0.0,Jason Scrivener,Jason Scrivener,True
Ewen Ferguson,Oliver Lindell,Calm,Positioning,3.3785,0.8724999999999999,3.3785,0.8724999999999999,2.506,Ewen Ferguson,Ewen Ferguson,True
Herman Loubser,Keenan Davidse,Calm,Positioning,3.3785,3.1405,3.3785,3.1405,0.238,Herman Loubser,Keenan Davidse,False
JC Ritchie,Kiradech Aphibarnrat,Calm,Positioning,3.1405,3.3785,3.3785,3.1405,0.238,Kiradech Aphibarnrat,JC Ritchie,False
