player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Erik van Rooyen,Tom Kim,Zac Blair,MODERATE: Lean B,Tom Kim,Tom Kim,False,5.709629481841819,WIN,True
Kurt Kitayama,Harry Hall,Stephan Jaeger,MODERATE: Lean B,Harry Hall,Kurt Kitayama,False,5.666291028126717,LOSS,False
Martin Kaymer,Tom McKibbin,Ian Poulter,MODERATE: Lean A,Martin Kaymer,Ian Poulter,False,5.603598928553207,LOSS,False
Joost Luiten,Samuel Simpson,Dan Bradbury,MODERATE: Lean A,Joost Luiten,Dan Bradbury,False,5.53194864163942,LOSS,False
Lee Hodges,Matt Wallace,Mac Meissner,MODERATE: Lean C,Mac Meissner,Lee Hodges,False,5.53194864163942,LOSS,False
Rafael Campos,Nicolai Hojgaard,S.H. Kim,MODERATE: Lean A,Rafael Campos,Nicolai Hojgaard,False,5.53194864163942,LOSS,False
Jordan Gumberg,Pieter Moolman,Louis Albertse,MODERATE: Lean A,Jordan Gumberg,Jordan Gumberg,False,5.528159059628758,WIN,True
Nico Echavarria,Jason Day,Corey Conners,MODERATE: Lean C,Corey Conners,Corey Conners,False,5.473158046988595,WIN,True
Chad Ramey,Alex Smalley,Pierceson Coody,MODERATE: Lean A,Chad Ramey,Alex Smalley,False,5.473158046988595,LOSS,False
Jovan Rebula,Rafa Cabrera Bello,Benjamin Follett-Smith,MODERATE: Lean C,Benjamin Follett-Smith,Jovan Rebula,False,5.340236528916874,LOSS,False
Clement Charmasson,Adrian Otaegui,Mike Toorop,MODERATE: Lean B,Adrian Otaegui,Mike Toorop,False,5.190397260333692,LOSS,False
Bernd Wiesberger,Jason Scrivener,Wenyi Ding,MODERATE: Lean A,Bernd Wiesberger,Jason Scrivener,False,5.190397260333692,LOSS,False
Aldrich Potgieter,Jake Knapp,Sungjae Im,MODERATE: Lean B,Jake Knapp,Aldrich Potgieter,False,5.120378836387262,LOSS,False
Chris Gotterup,Justin Rose,Min Woo Lee,MODERATE: Lean A,Chris Gotterup,Chris Gotterup,False,5.120378836387262,WIN,True
Aldrich Potgieter,Jake Knapp,Sungjae Im,MODERATE: Lean B,Jake Knapp,Aldrich Potgieter,False,5.120378836387262,LOSS,False
Max Homa,Denny McCarthy,Kevin Yu,SLIGHT: B favored,Denny McCarthy,Max Homa,False,4.9893851586045255,LOSS,False
Kevin Yu,Max Homa,Denny McCarthy,SLIGHT: C favored,Denny McCarthy,Max Homa,False,4.9893851586045255,LOSS,False
Tony Finau,Max McGreevy,Lucas Glover,SLIGHT: B favored,Max McGreevy,Max McGreevy,False,4.9893851586045255,WIN,True
Brian Campbell,Wyndham Clark,Marco Penge,SLIGHT: B favored,Wyndham Clark,Marco Penge,False,4.9893851586045255,LOSS,False
Lucas Glover,Tony Finau,Max McGreevy,SLIGHT: C favored,Max McGreevy,Max McGreevy,False,4.9893851586045255,WIN,True
Sahith Theegala,Michael Kim,Pierceson Coody,SLIGHT: B favored,Michael Kim,,True,4.984091390211347,PUSH,
Pierceson Coody,Sahith Theegala,Michael Kim,SLIGHT: C favored,Michael Kim,Pierceson Coody,False,4.984091390211347,LOSS,False
Brian Harman,Maverick McNealy,Davis Riley,SLIGHT: C favored,Davis Riley,Maverick McNealy,False,4.98404551090333,LOSS,False
Matthew Wolff,Elvis Smylie,Dean Burmester,SLIGHT: B favored,Elvis Smylie,Matthew Wolff,False,4.98404551090333,LOSS,False
Brian Harman,Maverick McNealy,Davis Riley,SLIGHT: C favored,Davis Riley,Maverick McNealy,False,4.98404551090333,LOSS,False
Cameron Tringale,Luis Masaveu,Sam Horsfield,SLIGHT: C favored,Sam Horsfield,Cameron Tringale,False,4.98404551090333,LOSS,False
Matthieu Pavon,S.H. Kim,Austin Smotherman,SLIGHT: A favored,Matthieu Pavon,Austin Smotherman,False,4.951961143419403,LOSS,False
Ricky Castillo,Ryan Gerard,Patrick Cantlay,SLIGHT: A favored,Ricky Castillo,Ricky Castillo,False,4.951961143419403,WIN,True
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,SLIGHT: A favored,Emiliano Grillo,,True,4.951961143419403,PUSH,
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,SLIGHT: A favored,Emiliano Grillo,,True,4.951961143419403,PUSH,
Ricky Castillo,Ryan Gerard,Patrick Cantlay,SLIGHT: A favored,Ricky Castillo,Ricky Castillo,False,4.951961143419403,WIN,True
Brice Garnett,Dylan Wu,Max Meissner,SLIGHT: B favored,Dylan Wu,Dylan Wu,False,4.878296857601944,WIN,True
Sepp Straka,Harry Hall,Patrick Cantlay,SLIGHT: B favored,Harry Hall,,True,4.870959067150574,PUSH,
Patrick Cantlay,Sepp Straka,Harry Hall,SLIGHT: C favored,Harry Hall,,True,4.870959067150574,PUSH,
Ben Griffin,Keegan Bradley,Sam Burns,SLIGHT: C favored,Sam Burns,Sam Burns,False,4.870959067150574,WIN,True
