Rank,Color,Personal Day,Sample Size,% Beating Field Avg,# Beating Field Avg,Mean Performance,Std Dev,Typical Range (±1σ),Min,Max,Stability,Verdict
76,Orange,5,1043,52.828379674017256,551,-0.12614264339673062,2.981861573989033,-3.11 to 2.86,-23.78057554,10.83680556,Erratic,MODERATE EDGE (Less predictable)
77,Orange,6,765,52.549019607843135,402,-0.10436450796464704,2.905626454161017,-3.01 to 2.80,-9.13363029,9.556603774,Erratic,MODERATE EDGE (Less predictable)
78,Purple,33,198,52.525252525252526,104,-0.2341507244942929,2.793309510853494,-3.03 to 2.56,-6.841409692,6.693103448,Erratic,MODERATE EDGE (Less predictable)
79,Pink,8,40,52.5,21,0.211696794855,3.22848631983028,-3.02 to 3.44,-4.63681592,7.36318408,Erratic,MODERATE EDGE (Less predictable)
80,Yellow,9,2558,52.423768569194685,1341,-0.06922566044999416,2.887249426109519,-2.96 to 2.82,-11.00482315,14.74757282,Erratic,MODERATE EDGE (Less predictable)
81,Purple,7,924,52.16450216450217,482,-0.09300676738759743,3.009088697341966,-3.10 to 2.92,-10.88930582,14.63588391,Erratic,MODERATE EDGE (Less predictable)
82,Red,6,140,52.142857142857146,73,0.32370102977430715,2.8900996035078905,-2.57 to 3.21,-6.138554217,8.47826087,Erratic,MODERATE EDGE (Less predictable)
83,Yellow,5,2457,52.0960520960521,1280,-0.07466086324306064,2.9982472992666027,-3.07 to 2.92,-10.86647315,13.74184783,Erratic,MODERATE EDGE (Less predictable)
84,Red,22,73,52.054794520547944,38,0.21557175974054793,3.120545988093307,-2.90 to 3.34,-5.897826087,9.7960199,Erratic,MODERATE EDGE (Less predictable)
85,Red,5,172,51.74418604651163,89,0.022263846538255794,3.2589983399423126,-3.24 to 3.28,-6.63681592,9.89122807,Erratic,SLIGHT EDGE (Less predictable)
86,Pink,5,31,51.61290322580645,16,0.4299613462451613,3.1760529473348043,-2.75 to 3.61,-5.820224719,6.160130719,Erratic,SLIGHT EDGE (Less predictable)
87,Blue,11,396,51.26262626262626,203,0.06818415056060607,3.14757036588851,-3.08 to 3.22,-9.418708241,10.11363636,Erratic,SLIGHT EDGE (Less predictable)
88,Blue,6,1044,51.24521072796935,535,0.007086869483160918,2.9343477938901064,-2.93 to 2.94,-8.163194444,12.1318408,Erratic,SLIGHT EDGE (Less predictable)
89,Red,33,41,51.21951219512195,21,0.5587021251219513,3.668570018695269,-3.11 to 4.23,-5.271149675,10.91044776,Erratic,SLIGHT EDGE (Less predictable)
90,Brown,33,4,50.0,2,0.0677895646600001,1.4706968020955185,-1.40 to 1.54,-1.290502793,2.46185853,Volatile,SLIGHT EDGE (Less predictable)
91,Brown,7,6,50.0,3,-0.5479773337500002,2.5076751040079546,-3.06 to 1.96,-4.05483871,3.705440901,Erratic,SLIGHT EDGE (Less predictable)
92,Red,7,188,47.340425531914896,89,0.33848993144475004,3.3853862482503136,-3.05 to 3.72,-9.067851373,10.60099338,Erratic,WEAKNESS (Less predictable)
93,Pink,6,26,46.15384615384615,12,0.34523798456230775,2.863859764323655,-2.52 to 3.21,-4.509015257,5.576923077,Erratic,WEAKNESS (Less predictable)
94,Brown,2,5,40.0,2,0.4172262318399998,3.591407551533326,-3.17 to 4.01,-5.294559099,4.94516129,Erratic,WEAKNESS (Less predictable)
95,Brown,22,4,25.0,1,1.4605502295,2.1561703040997293,-0.70 to 3.62,-1.347349177,3.942238267,Erratic,WEAKNESS (Less predictable)
96,Brown,11,1,0.0,0,4.269230769,0.0,4.27 to 4.27,4.269230769,4.269230769,Rock Solid,WEAKNESS (Highly predictable)
