condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Calm,Open,0-10,27.0,121,8.264462809917353,5.847953216374267,HIGH,-0.3750775108677686
Moderate,Open,0-10,30.0,19,-21.052631578947366,-5.797101449275361,EXPLORATORY,0.7264609627263156
Moderate,Open,10-20,26.0,19,-21.052631578947366,-5.797101449275361,EXPLORATORY,1.1227978274589474
Calm,Open,0-10,6.0,90,-8.888888888888891,-5.714285714285716,HIGH,0.4839982018966667
Moderate,Open,-10-0,28.0,108,8.333333333333332,5.696202531645569,HIGH,0.13189780599018516
Calm,Open,<-20,22.0,146,-7.534246575342466,-5.612244897959184,HIGH,0.35329633469726024
Moderate,Open,0-10,12.0,22,18.181818181818183,5.555555555555556,EXPLORATORY,-0.37851942592272747
Calm,Open,20+,11.0,22,18.181818181818183,5.555555555555556,EXPLORATORY,-0.1842707898090908
Moderate,Open,-10-0,17.0,130,-7.6923076923076925,-5.555555555555555,HIGH,0.517153133741077
Tough,Open,<-20,16.0,4,75.0,5.555555555555555,WEAK,-2.5011647394
Moderate,Open,20+,16.0,4,75.0,5.555555555555555,WEAK,-1.5457366036749998
Moderate,Open,<-20,9.0,94,-8.510638297872338,-5.5555555555555545,HIGH,0.4884035287388299
Calm,Open,-10-0,12.0,115,-7.826086956521738,-5.454545454545454,HIGH,0.3242229955930433
Moderate,Open,-20--10,4.0,61,9.836065573770489,5.405405405405404,HIGH,-0.3262287278885244
Calm,Open,-20--10,16.0,154,-7.142857142857142,-5.3921568627450975,HIGH,0.4960012321129871
Calm,Open,-10-0,27.0,284,-6.338028169014084,-5.389221556886228,HIGH,0.3883709706246479
Moderate,Open,20+,26.0,6,50.0,5.357142857142857,WEAK,-1.3671618703999997
Moderate,Open,-20--10,8.0,118,-7.627118644067796,-5.357142857142856,HIGH,0.5717649523249008
Calm,Open,0-10,25.0,100,-8.000000000000002,-5.333333333333334,HIGH,0.34730241483420005
Calm,Open,-20--10,26.0,138,-7.246376811594201,-5.319148936170212,HIGH,0.1302882156276086
Moderate,Open,-20--10,9.0,45,-11.11111111111111,-5.263157894736842,HIGH,0.8299489339720001
Calm,Open,0-10,13.0,140,-7.142857142857142,-5.263157894736842,HIGH,0.30823951450857145
Moderate,Open,0-10,15.0,64,9.375,5.263157894736842,HIGH,-0.44949524210624997
Calm,Open,<-20,4.0,122,-7.377049180327866,-5.232558139534882,HIGH,0.6884128822934426
Moderate,Open,-20--10,23.0,123,-7.317073170731706,-5.202312138728323,HIGH,-0.17139034540308926
