condition,round_type,color,element,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence,adjusted_roi
Calm,Closing,Green,Earth,249,63,52,25.301204819277107,20.883534136546185,4.417670682730924,-0.3112835350084337,HIGH,3.7
Moderate,Positioning,Yellow,Water,363,113,97,31.12947658402204,26.72176308539945,4.40771349862259,-0.0081987872653718,HIGH,3.9
Calm,Open,Yellow,Wood,1112,268,317,24.10071942446044,28.50719424460432,-4.4064748201438855,0.3030648826135252,HIGH,-4.2
Moderate,Open,Purple,Wood,228,60,50,26.31578947368421,21.929824561403507,4.385964912280701,-0.0511488950548063,HIGH,3.6
Calm,Open,Blue,Metal,689,161,191,23.36719883889696,27.721335268505083,-4.35413642960813,0.1405838373897097,HIGH,-4.1
Moderate,Open,Red,Fire,69,23,26,33.33333333333333,37.68115942028986,-4.347826086956524,0.003842991342029,HIGH,-2.5
Calm,Open,Yellow,Earth,1321,338,395,25.58667676003028,29.901589704769115,-4.314912944738836,0.3238840773651475,HIGH,-4.2
Calm,Open,Red,Water,93,17,21,18.27956989247312,22.58064516129032,-4.301075268817203,0.2480708412182795,HIGH,-2.8
Tough,Survival,Yellow,Wood,47,12,10,25.53191489361702,21.27659574468085,4.255319148936168,-0.0955080258965532,HIGH,2.1
Calm,Survival,Orange,Metal,400,108,125,27.0,31.25,-4.249999999999998,0.2083951471224,HIGH,-3.8
Moderate,Closing,Blue,Metal,212,56,65,26.41509433962264,30.660377358490564,-4.245283018867924,0.2261411832134905,HIGH,-3.4
Moderate,Open,Red,Wood,48,10,12,20.833333333333336,25.0,-4.166666666666666,0.4566818518804167,HIGH,-2.0
Calm,Survival,Purple,Water,362,83,98,22.92817679558011,27.07182320441989,-4.143646408839777,0.1493913832029005,HIGH,-3.6
Moderate,Open,Green,Fire,315,70,83,22.22222222222222,26.34920634920635,-4.126984126984129,0.2976808434089629,HIGH,-3.6
Moderate,Positioning,Orange,Water,170,42,35,24.705882352941178,20.588235294117645,4.117647058823532,-0.197907731209,HIGH,3.2
Moderate,Closing,Red,Water,49,11,13,22.448979591836736,26.53061224489796,-4.081632653061226,0.5932756573755101,HIGH,-2.0
Tough,Positioning,Blue,Earth,49,12,14,24.489795918367346,28.57142857142857,-4.081632653061224,-0.1590385704153061,HIGH,-2.0
Calm,Closing,Purple,Earth,324,84,71,25.925925925925924,21.91358024691358,4.012345679012344,-0.1041989416012345,HIGH,3.5
Moderate,Closing,Purple,Earth,125,40,35,32.0,28.000000000000004,3.9999999999999982,-0.147605373152,HIGH,2.9
Moderate,Survival,Green,Earth,227,71,62,31.277533039647576,27.31277533039648,3.964757709251099,0.1008931082370043,HIGH,3.2
Calm,Closing,Orange,Water,358,85,99,23.743016759776538,27.6536312849162,-3.910614525139666,0.0283966285216759,HIGH,-3.4
Calm,Positioning,Green,Wood,205,41,49,20.0,23.902439024390244,-3.902439024390242,0.3137387679643902,HIGH,-3.1
