ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
-1.75,90768,36927,8641,45200,0.4496328856527086,0.0951987484576062,0.5503671143472914
-1.5,101737,39604,9465,52668,0.4292092942604473,0.0930339994299025,0.5707907057395526
-1.25,124019,47481,11774,64764,0.4230121608980355,0.0949370660947113,0.5769878391019645
-1.0,160555,61028,15572,83955,0.4209321092817779,0.0969885708947089,0.5790678907182222
-0.75,211230,81040,20425,109765,0.4247268153350279,0.0966955451403683,0.5752731846649721
-0.5,270805,108210,27153,135442,0.4441170193554742,0.100267720315356,0.5558829806445258
-0.25,335744,140748,34116,160880,0.4666277666529632,0.1016131338162409,0.5333722333470368
0.0,349084,154714,35825,158545,0.493885251501154,0.1026257290508874,0.506114748498846
0.25,321493,150890,33030,137573,0.5230826830477392,0.1027394064567502,0.4769173169522607
0.5,263911,130428,26460,107023,0.549283852247411,0.1002610728616844,0.4507161477525889
0.75,199753,102299,19740,77714,0.5682867348469277,0.0988220452258539,0.4317132651530723
1.0,147214,75192,14042,57980,0.5646231940648184,0.09538494980097,0.4353768059351816
1.25,116830,59273,11250,46307,0.5614036749384353,0.0962937601643413,0.4385963250615647
1.5,98364,48574,9337,40453,0.5456097588372066,0.0949229392867309,0.4543902411627933
1.75,87581,41679,8391,37511,0.5263164540977396,0.0958084516048001,0.4736835459022603
2.0,69399,32577,6710,30112,0.5196605465073617,0.0966872721508955,0.4803394534926382
2.25,60638,27686,5860,27092,0.5054218846982366,0.0966390712094726,0.4945781153017635
2.5,52916,24315,5061,23540,0.5080973774945147,0.0956421498223599,0.4919026225054853
2.75,44170,20352,4171,19647,0.508812720318008,0.0944306090106407,0.491187279681992
3.0,37960,16899,3697,17364,0.4932142544435688,0.0973919915700737,0.5067857455564312
3.25,32549,14680,3144,14725,0.4992348240095222,0.0965928292727887,0.5007651759904778
3.5,28264,12764,2718,12782,0.4996476943552806,0.096164732521936,0.5003523056447193
3.75,24326,10842,2352,11132,0.4934012924365158,0.0966866726958809,0.5065987075634841
4.0,17150,8013,1598,7539,0.5152391975308642,0.0931778425655976,0.4847608024691358
4.25,15516,7276,1401,6839,0.5154799858306766,0.0902938901778808,0.4845200141693234
4.5,11644,5529,1036,5079,0.521210407239819,0.0889728615596015,0.478789592760181
4.75,9503,4514,887,4102,0.5239090064995358,0.0933389455961275,0.4760909935004642
5.0,7569,3626,658,3285,0.5246708146433222,0.0869335447218919,0.4753291853566778
5.25,6334,2933,576,2825,0.5093782563390066,0.0909377960214714,0.4906217436609934
5.5,5690,2526,536,2628,0.490104772991851,0.0942003514938488,0.509895227008149
5.75,4062,1844,359,1859,0.4979746151768836,0.0883801083210241,0.5020253848231164
6.0,3299,1397,314,1588,0.4680067001675042,0.0951803576841467,0.5319932998324958
6.25,2916,1266,269,1381,0.4782772950510011,0.0922496570644718,0.5217227049489989
6.5,2130,900,192,1038,0.4643962848297213,0.0901408450704225,0.5356037151702786
6.75,2225,953,219,1053,0.475074775672981,0.0984269662921348,0.5249252243270189
7.0,2095,866,205,1024,0.4582010582010582,0.0978520286396181,0.5417989417989418
7.25,1683,670,162,851,0.440499671268902,0.0962566844919786,0.559500328731098
7.5,1504,589,131,784,0.4289876183539694,0.0871010638297872,0.5710123816460306
7.75,1350,580,129,641,0.475020475020475,0.0955555555555555,0.5249795249795249
8.0,1276,515,117,644,0.4443485763589301,0.091692789968652,0.5556514236410699
8.25,1069,442,95,532,0.4537987679671458,0.088868101028999,0.5462012320328542
8.5,932,399,91,442,0.4744351961950059,0.0976394849785407,0.525564803804994
8.75,1027,418,80,529,0.4413938753959873,0.0778967867575462,0.5586061246040127
9.0,987,414,74,499,0.4534501642935378,0.0749746707193515,0.5465498357064622
9.25,862,351,90,421,0.4546632124352331,0.1044083526682134,0.5453367875647669
9.5,878,370,66,442,0.4556650246305418,0.0751708428246013,0.5443349753694581
9.75,761,337,72,352,0.4891146589259796,0.0946123521681997,0.5108853410740203
10.0,836,343,69,424,0.4471968709256845,0.0825358851674641,0.5528031290743155
10.25,806,359,78,369,0.4931318681318681,0.0967741935483871,0.5068681318681318
10.5,771,309,69,393,0.4401709401709401,0.0894941634241245,0.5598290598290598
10.75,746,321,55,370,0.4645441389290883,0.0737265415549597,0.5354558610709117
11.0,770,322,76,372,0.4639769452449567,0.0987012987012987,0.5360230547550432
11.25,708,280,64,364,0.4347826086956521,0.0903954802259887,0.5652173913043478
11.5,645,265,58,322,0.4514480408858603,0.089922480620155,0.5485519591141397
11.75,666,286,64,316,0.4750830564784053,0.0960960960960961,0.5249169435215947
12.0,663,271,59,333,0.4486754966887417,0.0889894419306184,0.5513245033112583
12.25,647,267,54,326,0.4502529510961214,0.0834621329211746,0.5497470489038786
12.5,679,260,76,343,0.4311774461028192,0.1119293078055964,0.5688225538971807
12.75,743,293,65,385,0.4321533923303834,0.0874831763122476,0.5678466076696165
13.0,701,264,71,366,0.419047619047619,0.101283880171184,0.580952380952381
13.25,656,249,70,337,0.4249146757679181,0.1067073170731707,0.5750853242320819
13.5,614,253,58,303,0.4550359712230216,0.0944625407166123,0.5449640287769785
13.75,588,233,59,296,0.440453686200378,0.1003401360544217,0.5595463137996219
14.0,451,191,41,219,0.4658536585365854,0.0909090909090909,0.5341463414634147
14.25,456,192,36,228,0.4571428571428571,0.0789473684210526,0.5428571428571428
14.5,424,173,29,222,0.4379746835443038,0.0683962264150943,0.5620253164556962
14.75,415,184,32,199,0.4804177545691906,0.0771084337349397,0.5195822454308094
15.0,379,177,32,170,0.5100864553314121,0.0844327176781002,0.4899135446685879
15.25,379,151,33,195,0.4364161849710982,0.0870712401055409,0.5635838150289018
15.5,315,139,28,148,0.4843205574912892,0.0888888888888888,0.5156794425087108
15.75,308,142,25,141,0.5017667844522968,0.0811688311688311,0.4982332155477031
16.0,258,85,17,156,0.3526970954356846,0.065891472868217,0.6473029045643154
16.25,251,93,27,131,0.4151785714285714,0.1075697211155378,0.5848214285714286
16.5,367,146,40,181,0.4464831804281345,0.108991825613079,0.5535168195718655
