ev_bucket,total_matchups,p_a_win,p_tie,p_a_loss,fair_decimal,fair_american
21.25,99,0.3516483516483517,0.0808080808080808,0.6483516483516484,2.844,184.0
21.5,46,0.4634146341463415,0.108695652173913,0.5365853658536586,2.158,116.0
21.75,48,0.3043478260869565,0.0416666666666666,0.6956521739130435,3.286,229.0
22.0,59,0.320754716981132,0.1016949152542373,0.6792452830188679,3.118,212.0
22.25,41,0.2,0.024390243902439,0.8,5.0,400.0
22.5,47,0.1590909090909091,0.0638297872340425,0.8409090909090909,6.286,529.0
22.75,34,0.1515151515151515,0.0294117647058823,0.8484848484848485,6.6,560.0
23.0,39,0.2285714285714285,0.1025641025641025,0.7714285714285715,4.375,338.0
23.25,28,0.2142857142857142,0.0,0.7857142857142857,4.667,367.0
23.5,17,0.1333333333333333,0.1176470588235294,0.8666666666666667,7.5,650.0
23.75,13,0.3333333333333333,0.0769230769230769,0.6666666666666666,3.0,200.0
24.0,16,0.25,0.0,0.75,4.0,300.0
24.25,14,0.0769230769230769,0.0714285714285714,0.9230769230769232,13.0,1200.0
24.5,18,0.2941176470588235,0.0555555555555555,0.7058823529411765,3.4,240.0
24.75,10,0.4,0.0,0.6,2.5,150.0
25.0,8,0.375,0.0,0.625,2.667,167.0
25.25,6,0.5,0.0,0.5,2.0,100.0
25.5,4,0.5,0.0,0.5,2.0,100.0
25.75,6,0.8333333333333334,0.0,0.1666666666666666,1.2,-500.0
26.0,4,0.5,0.0,0.5,2.0,100.0
26.25,2,1.0,0.5,0.0,1.0,
26.5,6,1.0,0.0,0.0,1.0,
27.0,2,0.5,0.0,0.5,2.0,100.0
