player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Justin Rose,Patrick Rodgers,Pink,Orange,Moderate,Open,0.625,0.5556,0.5903,0.625,0.5325,0.57875,0.5903,0.57875,Justin Rose,Justin Rose,True
Bud Cauley,Kevin Yu,Purple,Yellow,Moderate,Open,0.5357999999999999,0.5794,0.5576,0.5408,0.5357999999999999,0.5383,0.5576,0.5383,Bud Cauley,Bud Cauley,True
Collin Morikawa,Ludvig Aberg,Yellow,Yellow,Moderate,Open,0.5408,0.5357999999999999,0.5383,0.6667000000000001,0.4382,0.55245,0.55245,0.5383,Ludvig Aberg,Collin Morikawa,False
Ryan Gerard,Garrick Higgo,Pink,Yellow,Moderate,Open,0.0,1.0,0.5,0.5,0.5357999999999999,0.5179,0.5179,0.5,Garrick Higgo,Ryan Gerard,False
Tom Hoge,Sahith Theegala,Orange,Orange,Moderate,Open,0.5984,0.5743,0.58635,0.5979,0.5743,0.5861000000000001,0.58635,0.5861000000000001,Tom Hoge,Tom Hoge,True
Taylor Pendrith,Rico Hoey,Orange,Brown,Moderate,Open,0.5979,0.5743,0.5861000000000001,1.0,1.0,1.0,1.0,0.5861000000000001,Rico Hoey,Rico Hoey,True
J.T. Poston,Adam Schenk,Yellow,Blue,Moderate,Open,0.5,0.5357999999999999,0.5179,0.5405,0.5597,0.5501,0.5501,0.5179,Adam Schenk,J.T. Poston,False
Christiaan Bezuidenhout,Davis Thompson,Green,Yellow,Calm,Open,0.5686,0.594,0.5812999999999999,0.6272,0.6172,0.6222,0.6222,0.5812999999999999,Davis Thompson,Christiaan Bezuidenhout,False
Pierceson Coody,Rasmus Hojgaard,Green,Purple,Calm,Open,0.5686,0.594,0.5812999999999999,0.5589,0.5864,0.57265,0.5812999999999999,0.57265,Pierceson Coody,Pierceson Coody,True
Corey Conners,Michael Thorbjornsen,Yellow,Yellow,Calm,Open,0.6061,0.6148,0.6104499999999999,0.6222,0.6172,0.6196999999999999,0.6196999999999999,0.6104499999999999,Michael Thorbjornsen,Michael Thorbjornsen,True
