condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Moderate,Positioning,27.0,Horse,15,33.33333333333333,7.692307692307692,EXPLORATORY,-0.9568852590533332
Tough,Positioning,3.0,Rat,15,33.33333333333333,7.692307692307692,EXPLORATORY,-1.7953644191800002
Moderate,Survival,21.0,Rooster,55,14.545454545454545,7.6190476190476195,HIGH,-0.3164654779454547
Moderate,Survival,25.0,Rabbit,134,10.447761194029853,7.608695652173915,HIGH,-0.23784065903582086
Moderate,Closing,25.0,Monkey,29,20.689655172413794,7.59493670886076,EXPLORATORY,0.04294518176206901
Tough,Open,27.0,Snake,16,31.25,7.575757575757576,EXPLORATORY,-1.15775434265375
Moderate,Closing,16.0,Dog,16,31.25,7.575757575757576,EXPLORATORY,-1.3406002980687497
Calm,Positioning,28.0,Goat,56,14.285714285714285,7.547169811320754,HIGH,-0.06542561028571445
Calm,Closing,20.0,Horse,43,16.27906976744186,7.526881720430107,HIGH,-0.44603910079534886
Moderate,Survival,7.0,Goat,43,16.279069767441857,7.526881720430106,HIGH,-0.011991981848837393
Calm,Survival,21.0,Ox,30,20.0,7.5,HIGH,-0.4382414107166668
Moderate,Positioning,18.0,Goat,17,29.411764705882355,7.46268656716418,EXPLORATORY,-0.6282215728117647
Calm,Open,20.0,Snake,111,10.81081081081081,7.453416149068323,HIGH,-0.291608114657658
Calm,Positioning,14.0,Monkey,31,19.35483870967742,7.407407407407407,HIGH,-0.256225899164516
Tough,Survival,14.0,Monkey,4,100.0,7.4074074074074066,WEAK,-3.0242439783000004
Tough,Survival,29.0,Horse,4,100.0,7.4074074074074066,WEAK,-4.0673548615
Tough,Closing,26.0,Snake,4,100.0,7.4074074074074066,WEAK,-4.0570649945
Tough,Open,8.0,Dragon,4,100.0,7.4074074074074066,WEAK,-4.6804939783
Calm,Survival,14.0,Snake,4,100.0,7.4074074074074066,WEAK,-2.24735518005
Moderate,Positioning,8.0,Pig,4,100.0,7.4074074074074066,WEAK,-2.4730833139
Moderate,Open,15.0,Rat,18,27.77777777777778,7.352941176470589,EXPLORATORY,-0.7960596421222224
Moderate,Survival,18.0,Pig,18,27.77777777777778,7.352941176470589,EXPLORATORY,-0.8557307253111112
Moderate,Survival,20.0,Monkey,5,80.0,7.272727272727273,WEAK,-4.3444256896
Moderate,Open,16.0,Horse,60,13.333333333333336,7.272727272727273,HIGH,0.05603598239333321
Tough,Survival,3.0,Pig,5,80.0,7.272727272727273,WEAK,-2.0492884502
Tough,Survival,19.0,Horse,5,80.0,7.272727272727273,WEAK,-3.3783611306399997
Tough,Open,10.0,Horse,5,80.0,7.272727272727273,WEAK,-2.0386771860567996
Tough,Closing,15.0,Tiger,5,80.0,7.272727272727273,WEAK,-2.2335738764600004
Moderate,Open,14.0,Rabbit,19,26.31578947368421,7.246376811594202,EXPLORATORY,-0.06271323120736862
Moderate,Positioning,13.0,Rabbit,34,17.64705882352941,7.142857142857142,HIGH,-0.6950338174823528
Tough,Survival,17.0,Rat,6,66.66666666666666,7.1428571428571415,WEAK,-3.5632168695666664
Calm,Positioning,29.0,Ox,63,12.698412698412698,7.0796460176991145,HIGH,-0.2787509151269844
Calm,Closing,16.0,Horse,49,14.285714285714285,7.070707070707071,HIGH,-0.18393022328571443
Calm,Closing,7.0,Horse,7,57.14285714285714,7.0175438596491215,WEAK,-1.1087079237142856
Calm,Closing,3.0,Dog,7,57.14285714285714,7.0175438596491215,WEAK,-2.4362401716571433
Tough,Open,13.0,Pig,7,57.14285714285714,7.0175438596491215,WEAK,-2.1228916966
Moderate,Open,25.0,Tiger,7,57.14285714285714,7.0175438596491215,WEAK,-1.0268877795857143
Calm,Positioning,8.0,Goat,7,57.14285714285714,7.0175438596491215,WEAK,-1.4946877819999997
Tough,Open,17.0,Snake,7,57.14285714285714,7.0175438596491215,WEAK,-2.735293257042857
Moderate,Open,16.0,Pig,65,12.307692307692308,6.956521739130435,HIGH,-0.202211065033846
Calm,Positioning,30.0,Pig,65,12.307692307692308,6.956521739130435,HIGH,-0.4117211752307692
Calm,Open,6.0,Goat,22,22.727272727272727,6.944444444444445,EXPLORATORY,-0.11502139485454559
Tough,Open,29.0,Rooster,8,50.0,6.896551724137931,WEAK,-1.07117454629
Moderate,Open,26.0,Rat,81,11.11111111111111,6.870229007633588,HIGH,0.09727561964567916
Calm,Survival,24.0,Tiger,52,13.461538461538463,6.862745098039216,HIGH,-0.18819938886923085
Moderate,Survival,24.0,Rabbit,53,13.20754716981132,6.796116504854369,HIGH,0.09286998469622629
Tough,Survival,15.0,Monkey,9,44.44444444444444,6.779661016949153,WEAK,-1.2742117180444443
Calm,Open,25.0,Tiger,24,20.833333333333336,6.756756756756758,EXPLORATORY,-0.7158592465833333
Moderate,Survival,10.0,Goat,39,15.384615384615383,6.741573033707865,HIGH,-0.8731439530133331
Calm,Survival,2.0,Rat,84,10.714285714285715,6.716417910447762,HIGH,-0.2301045021119048
Moderate,Closing,7.0,Horse,10,40.0,6.666666666666666,WEAK,-0.5821142159999997
Calm,Open,22.0,Dog,40,15.0,6.666666666666666,HIGH,-0.6113774160000002
Calm,Survival,5.0,Tiger,10,40.0,6.666666666666666,WEAK,-1.682868376
Moderate,Closing,20.0,Dragon,25,20.0,6.666666666666666,EXPLORATORY,-0.86006033965134
