condition,round_type,color,exec_bucket,upside_bucket,gap_bucket,n,good,bad,good_rate,bad_rate,edge,avg_off_par,consistency,confidence
Calm,Open,Purple,50-75,50-75,0-10,290,118,65,40.689655172413794,22.413793103448278,18.275862068965516,-0.6896551724137931,3.1447594488941664,HIGH
Calm,Open,Green,50-75,50-75,-10-0,467,191,106,40.899357601713064,22.698072805139187,18.201284796573873,-0.6381156316916489,3.2040215950349653,HIGH
Calm,Open,Purple,50-75,50-75,-20--10,171,78,47,45.614035087719294,27.485380116959064,18.128654970760234,-0.43859649122807015,3.3202633339557788,HIGH
Calm,Open,Yellow,50-75,75-100,-20--10,444,189,109,42.567567567567565,24.54954954954955,18.01801801801802,-0.8423423423423423,3.1454449361608265,HIGH
Calm,Open,Yellow,50-75,50-75,0-10,651,266,150,40.86021505376344,23.04147465437788,17.818740399385565,-0.7096774193548387,3.1778388961097117,HIGH
Calm,Open,Yellow,25-50,50-75,-20--10,433,180,103,41.570438799076214,23.787528868360276,17.782909930715938,-0.605080831408776,3.1334030806993765,HIGH
Calm,Open,Blue,50-75,50-75,-20--10,186,74,42,39.784946236559136,22.58064516129032,17.204301075268816,-0.3817204301075269,2.8053017850495117,HIGH
Calm,Open,Orange,50-75,50-75,-10-0,257,105,62,40.856031128404666,24.124513618677042,16.731517509727624,-0.5992217898832685,3.2365827877598536,HIGH
Calm,Open,Green,25-50,50-75,-20--10,180,77,47,42.77777777777778,26.111111111111114,16.666666666666664,-0.8611111111111112,3.1494681450244735,HIGH
Calm,Open,Purple,50-75,75-100,-20--10,128,54,33,42.1875,25.78125,16.40625,-0.6171875,3.4369944152174905,HIGH
Calm,Open,Green,50-75,75-100,-10-0,117,48,30,41.02564102564102,25.64102564102564,15.384615384615385,-0.11965811965811966,3.8127788607170645,HIGH
Calm,Open,Orange,50-75,75-100,-10-0,85,29,16,34.11764705882353,18.823529411764707,15.294117647058824,-0.611764705882353,3.2480547938693385,HIGH
Calm,Open,Yellow,50-75,50-75,10-20,50,23,16,46.0,32.0,14.000000000000002,-0.44,3.2460965569654356,HIGH
Calm,Open,Green,25-50,50-75,-10-0,43,20,14,46.51162790697674,32.55813953488372,13.95348837209302,-0.7209302325581395,3.881123925306694,HIGH
Calm,Open,Yellow,25-50,25-50,-20--10,52,19,12,36.53846153846153,23.076923076923077,13.461538461538458,-0.9807692307692307,3.6217771859843952,HIGH
Calm,Open,Purple,50-75,50-75,-10-0,516,206,141,39.922480620155035,27.325581395348834,12.5968992248062,-0.5445736434108527,3.4410358584345118,HIGH
Calm,Open,Pink,25-50,75-100,<-20,40,17,12,42.5,30.0,12.5,-0.425,3.3503731135501913,HIGH
Calm,Open,Blue,75-100,50-75,0-10,185,70,48,37.83783783783784,25.945945945945947,11.891891891891893,-0.35135135135135137,3.1555353040695238,HIGH
Calm,Open,Orange,25-50,50-75,-10-0,52,20,14,38.46153846153847,26.923076923076923,11.538461538461542,-0.5192307692307693,3.214491602015293,HIGH
Calm,Open,Orange,25-50,75-100,<-20,445,163,114,36.62921348314607,25.617977528089884,11.011235955056181,-0.2898876404494382,3.07254791061467,HIGH
Calm,Open,Yellow,25-50,75-100,<-20,516,190,134,36.82170542635659,25.968992248062015,10.852713178294572,-0.31007751937984496,3.4439725303921316,HIGH
Calm,Open,Blue,25-50,75-100,<-20,449,177,131,39.42093541202672,29.175946547884184,10.24498886414254,-0.08685968819599109,3.2765442352206904,HIGH
Calm,Open,Green,75-100,50-75,0-10,83,32,24,38.55421686746988,28.915662650602407,9.638554216867472,-0.42168674698795183,2.8332541057069243,HIGH
Calm,Open,Red,50-75,50-75,0-10,55,22,17,40.0,30.909090909090907,9.090909090909093,-0.509090909090909,3.155669367701432,HIGH
Calm,Open,Red,50-75,50-75,-10-0,131,50,39,38.16793893129771,29.770992366412212,8.3969465648855,0.17557251908396945,3.4740375889878523,HIGH
Calm,Open,Yellow,50-75,75-100,-10-0,382,145,114,37.95811518324607,29.84293193717277,8.115183246073299,-0.32460732984293195,3.4259120252839974,HIGH
Calm,Open,Blue,25-50,25-50,-20--10,61,20,16,32.78688524590164,26.229508196721312,6.5573770491803245,-0.3442622950819672,2.6197025651883927,HIGH
Calm,Open,Orange,25-50,50-75,<-20,561,198,162,35.294117647058826,28.87700534759358,6.417112299465244,-0.24955436720142601,3.437986949559655,HIGH
