player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Jacob Olesen,Martin Couvra,Moderate,Open,SKIP,Jacob Olesen,-0.12067238993215401,-0.12067238993215401,0.0,SKIP,
JC Ritchie,Rafa Cabrera Bello,Moderate,Open,SKIP,Rafa Cabrera Bello,-4.117013184584176,-4.117013184584176,0.0,SKIP,
Alejandro Del Rey,Julien Guerrier,Moderate,Open,Julien Guerrier,Push,-8.127067722374239,-8.127067722374239,0.0,PUSH,
Patrick Reed,Alex Fitzpatrick,Moderate,Open,SKIP,Alex Fitzpatrick,-7.004717196146538,-7.004717196146538,0.0,SKIP,
Andy Sullivan,Jacques Kruyswijk,Moderate,Open,SKIP,Jacques Kruyswijk,-4.54196252675938,-4.54196252675938,0.0,SKIP,
Jayden Schaper,Hennie du Plessis,Moderate,Open,Hennie du Plessis,Jayden Schaper,-8.815040377057523,-8.815040377057523,0.0,LOSS,False
Richard Sterne,Deon Germishuys,Moderate,Open,SKIP,Richard Sterne,-3.976915936331122,-3.976915936331122,0.0,SKIP,
Brandon Stone,Romain Langasque,Moderate,Open,SKIP,Romain Langasque,-0.12067238993215401,-0.12067238993215401,0.0,SKIP,
Antoine Rozner,Marcus Armitage,Moderate,Open,SKIP,Marcus Armitage,-6.2492659494503435,-6.2492659494503435,0.0,SKIP,
Dan Bradbury,Johannes Veerman,Moderate,Open,SKIP,Dan Bradbury,-4.54196252675938,-4.54196252675938,0.0,SKIP,
Jason Scrivener,Joe Dean,Moderate,Open,SKIP,Joe Dean,-7.18010032898105,-7.18010032898105,0.0,SKIP,
Sam Bairstow,Ugo Coussaud,Moderate,Open,SKIP,Push,-0.12067238993215401,-0.12067238993215401,0.0,PUSH,
Calum Hill,Ewen Ferguson,Moderate,Open,Ewen Ferguson,Push,-8.127067722374239,-8.127067722374239,0.0,PUSH,
Angel Ayora,Casey Jarvis,Moderate,Open,SKIP,Angel Ayora,-7.868072983664332,-7.868072983664332,0.0,SKIP,
