condition,round_type,color,upside_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Moderate,Positioning,Yellow,50-75,1109,328,297,29.57619477006312,26.78088367899008,2.7953110910730388,2.6747195858498705,HIGH,-0.0393107896862478
Calm,REMOVE,Orange,50-75,179,43,37,24.022346368715084,20.670391061452513,3.351955307262571,2.6200873362445427,HIGH,-0.2035086059670391
Calm,Closing,Purple,75-100,334,94,84,28.143712574850298,25.149700598802394,2.9940119760479043,2.6041666666666665,HIGH,-0.16287423150479044
Tough,Positioning,Purple,50-75,105,28,24,26.666666666666668,22.857142857142858,3.80952380952381,2.580645161290323,HIGH,0.08199589361420949
Calm,Positioning,Blue,50-75,1245,322,291,25.863453815261046,23.373493975903614,2.4899598393574323,2.393822393822396,HIGH,-0.056489814385108424
Calm,Positioning,Red,75-100,80,20,17,25.0,21.25,3.75,2.307692307692308,HIGH,-0.06137711712962497
Tough,Positioning,Purple,75-100,38,10,8,26.31578947368421,21.052631578947366,5.2631578947368425,2.272727272727273,HIGH,-0.4104312898292105
Moderate,Positioning,Green,25-50,39,14,12,35.8974358974359,30.76923076923077,5.128205128205128,2.2471910112359548,HIGH,-0.3928732598673828
Moderate,Survival,Purple,25-50,42,8,6,19.047619047619047,14.285714285714285,4.761904761904763,2.173913043478261,HIGH,-0.13628934198595236
Calm,REMOVE,Yellow,50-75,435,92,82,21.149425287356323,18.850574712643677,2.2988505747126453,2.0618556701030943,HIGH,-0.34789391576567824
Tough,Survival,Green,75-100,51,14,12,27.450980392156865,23.52941176470588,3.9215686274509842,1.9801980198019822,HIGH,-0.3935805130672158
Moderate,Open,Red,50-75,208,60,55,28.846153846153843,26.442307692307693,2.4038461538461497,1.9379844961240276,HIGH,0.09766723572250006
Tough,Open,Pink,75-100,2,1,0,50.0,0.0,50.0,1.9230769230769231,WEAK,-2.5969500004
Moderate,Survival,Pink,25-50,3,2,1,66.66666666666666,33.33333333333333,33.33333333333333,1.8867924528301885,WEAK,-3.2377642551333334
Calm,Elimination,Pink,50-75,4,1,0,25.0,0.0,25.0,1.8518518518518516,WEAK,0.6243430105000001
Calm,Closing,Yellow,75-100,1197,299,276,24.97911445279866,23.05764411027569,1.9214703425229729,1.8444266238973526,HIGH,-0.006847548604786969
Calm,Open,Red,25-50,5,1,0,20.0,0.0,20.0,1.8181818181818183,WEAK,-0.40887385794000003
Calm,Closing,Pink,75-100,7,1,0,14.285714285714285,0.0,14.285714285714285,1.7543859649122804,WEAK,-0.3396935808142857
Calm,REMOVE,Pink,75-100,10,4,3,40.0,30.0,10.0,1.6666666666666665,WEAK,-0.9826141482299999
Calm,Closing,Red,75-100,76,16,14,21.052631578947366,18.421052631578945,2.6315789473684212,1.5873015873015874,HIGH,0.015000096310921024
Calm,Closing,Brown,50-75,17,5,4,29.411764705882355,23.52941176470588,5.882352941176475,1.4925373134328368,EXPLORATORY,-0.13559128871764708
Calm,Elimination,Yellow,25-50,17,3,2,17.647058823529413,11.76470588235294,5.882352941176473,1.4925373134328364,EXPLORATORY,0.5484376404705882
Calm,Elimination,Orange,50-75,89,24,22,26.96629213483146,24.719101123595504,2.247191011235955,1.4388489208633095,HIGH,0.21163446108089892
Moderate,Survival,Yellow,25-50,367,100,95,27.247956403269757,25.885558583106267,1.3623978201634905,1.1990407673860934,HIGH,-0.04967763092885317
Tough,Survival,Purple,50-75,119,31,29,26.05042016806723,24.369747899159663,1.6806722689075677,1.1834319526627253,HIGH,-0.04757016200401665
