condition,round_type,moon,life_path,n,good,bad,edge,roi,conf
Calm,Positioning,Shukla Nanda,6.0,92,24,30,-6.521739130434784,-4.225352112676058,HIGH
Calm,Positioning,Shukla Nanda,9.0,107,25,35,-9.345794392523363,-6.369426751592355,HIGH
Calm,Positioning,Shukla Nanda,5.0,68,25,18,10.294117647058826,5.93220338983051,HIGH
Calm,Positioning,Shukla Nanda,8.0,74,12,25,-17.567567567567565,-10.483870967741934,HIGH
Calm,Positioning,Shukla Nanda,3.0,108,31,24,6.481481481481483,4.4303797468354436,HIGH
Calm,Positioning,Shukla Jaya,7.0,119,20,24,-3.361344537815125,-2.3668639053254434,HIGH
Calm,Positioning,Shukla Jaya,2.0,154,53,26,17.532467532467532,13.235294117647058,HIGH
Calm,Positioning,Shukla Jaya,4.0,97,27,19,8.247422680412372,5.442176870748299,HIGH
Calm,Positioning,Shukla Jaya,1.0,123,32,33,-0.8130081300812997,-0.5780346820809241,HIGH
Calm,Positioning,Shukla Jaya,6.0,81,23,14,11.11111111111111,6.870229007633588,HIGH
Calm,Positioning,Shukla Jaya,9.0,127,26,38,-9.448818897637798,-6.779661016949155,HIGH
Calm,Positioning,Shukla Jaya,5.0,81,26,21,6.172839506172839,3.816793893129771,HIGH
Calm,Positioning,Shukla Jaya,8.0,124,43,36,5.645161290322581,4.022988505747127,HIGH
Calm,Positioning,Shukla Jaya,3.0,134,35,35,0.0,0.0,HIGH
Calm,Positioning,Shukla Bhadra,7.0,173,29,50,-12.138728323699425,-9.417040358744398,HIGH
Calm,Positioning,Shukla Bhadra,2.0,218,47,52,-2.293577981651376,-1.8656716417910448,HIGH
Calm,Positioning,Shukla Bhadra,4.0,156,29,41,-7.6923076923076925,-5.825242718446602,HIGH
Calm,Positioning,Shukla Bhadra,1.0,201,57,54,1.4925373134328346,1.195219123505975,HIGH
Calm,Positioning,Shukla Bhadra,6.0,140,31,46,-10.714285714285715,-7.894736842105264,HIGH
Calm,Positioning,Shukla Bhadra,9.0,196,31,66,-17.857142857142854,-14.227642276422761,HIGH
Calm,Positioning,Shukla Bhadra,5.0,148,35,47,-8.108108108108105,-6.060606060606059,HIGH
Calm,Positioning,Shukla Bhadra,8.0,174,37,58,-12.068965517241379,-9.375,HIGH
Calm,Positioning,Shukla Bhadra,3.0,221,48,76,-12.669683257918551,-10.332103321033209,HIGH
Calm,Positioning,Krishna Rikta,7.0,138,32,33,-0.7246376811594207,-0.5319148936170216,HIGH
Calm,Positioning,Krishna Rikta,2.0,174,27,62,-20.114942528735632,-15.625,HIGH
Calm,Positioning,Krishna Rikta,4.0,126,29,32,-2.380952380952381,-1.7045454545454546,HIGH
Calm,Positioning,Krishna Rikta,1.0,142,17,44,-19.01408450704225,-14.062499999999996,HIGH
Calm,Positioning,Krishna Rikta,6.0,110,20,26,-5.454545454545453,-3.749999999999999,HIGH
Calm,Positioning,Krishna Rikta,9.0,127,28,37,-7.0866141732283445,-5.084745762711863,HIGH
Calm,Positioning,Krishna Rikta,5.0,104,21,25,-3.8461538461538463,-2.5974025974025974,HIGH
Calm,Positioning,Krishna Rikta,8.0,119,12,45,-27.73109243697479,-19.526627218934912,HIGH
Calm,Positioning,Krishna Rikta,3.0,152,18,45,-17.763157894736842,-13.366336633663366,HIGH
Calm,Closing,Krishna Jaya,7.0,114,21,33,-10.526315789473687,-7.3170731707317085,HIGH
Calm,Closing,Krishna Jaya,2.0,145,26,50,-16.551724137931036,-12.307692307692308,HIGH
Calm,Closing,Krishna Jaya,4.0,111,12,30,-16.216216216216218,-11.180124223602485,HIGH
