condition,round_type,color,exec_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Moderate,Closing,Green,50-75,384,127,89,33.07291666666667,23.177083333333336,9.895833333333336,8.755760368663598,HIGH,-0.23265131791539062
Calm,Positioning,Yellow,75-100,458,140,96,30.567685589519648,20.96069868995633,9.606986899563317,8.661417322834644,HIGH,-0.5802510755463974
Tough,Positioning,Yellow,50-75,263,80,53,30.418250950570343,20.15209125475285,10.266159695817493,8.626198083067095,HIGH,-0.602895056307848
Moderate,Open,Purple,75-100,209,64,42,30.62200956937799,20.095693779904305,10.526315789473685,8.494208494208495,HIGH,-0.2982808577404095
Moderate,Survival,Purple,25-50,270,82,56,30.37037037037037,20.74074074074074,9.62962962962963,8.125,HIGH,-0.15266237402994762
Moderate,Positioning,Pink,25-50,25,8,2,32.0,8.0,24.0,8.0,EXPLORATORY,-0.845281175824
Moderate,Closing,Orange,75-100,26,8,2,30.76923076923077,7.6923076923076925,23.076923076923077,7.894736842105263,EXPLORATORY,-0.9288863894469231
Tough,Positioning,Green,25-50,28,11,5,39.285714285714285,17.857142857142858,21.428571428571427,7.692307692307692,EXPLORATORY,-0.5199939890532143
Moderate,Closing,Orange,25-50,388,127,94,32.7319587628866,24.22680412371134,8.50515463917526,7.534246575342467,HIGH,-0.17609110061837624
Moderate,Closing,Brown,50-75,4,4,0,100.0,0.0,100.0,7.4074074074074066,WEAK,-2.44971837815
Calm,Positioning,Pink,0-25,4,4,0,100.0,0.0,100.0,7.4074074074074066,WEAK,-6.1805374109999995
Moderate,Open,Yellow,75-100,438,140,104,31.963470319634702,23.74429223744292,8.219178082191782,7.37704918032787,HIGH,-0.2206339797354554
Calm,Closing,Pink,25-50,34,10,4,29.411764705882355,11.76470588235294,17.647058823529413,7.142857142857143,HIGH,-0.6516729203617646
Calm,Survival,Red,75-100,63,22,14,34.92063492063492,22.22222222222222,12.698412698412696,7.079646017699114,HIGH,-0.36938413665238107
Calm,Positioning,Brown,25-50,7,4,0,57.14285714285714,0.0,57.14285714285714,7.0175438596491215,WEAK,-2.170899074442857
Calm,Positioning,Purple,75-100,139,41,28,29.496402877697843,20.14388489208633,9.352517985611513,6.87830687830688,HIGH,-0.09979506972460428
Moderate,Positioning,Purple,25-50,216,61,43,28.240740740740737,19.90740740740741,8.333333333333329,6.766917293233078,HIGH,-0.37311557147962976
Moderate,Survival,Yellow,0-25,10,4,0,40.0,0.0,40.0,6.666666666666666,WEAK,-1.23725920656
Moderate,Survival,Purple,50-75,739,225,174,30.446549391069013,23.545331529093367,6.9012178619756455,6.463878326996201,HIGH,-0.35232325270079234
Moderate,Closing,Blue,75-100,123,34,23,27.64227642276423,18.69918699186992,8.943089430894311,6.358381502890175,HIGH,-0.11099062533682935
Moderate,Closing,Green,75-100,62,17,10,27.419354838709676,16.129032258064516,11.29032258064516,6.25,HIGH,-0.2975226626348386
Calm,Survival,Red,25-50,153,50,38,32.6797385620915,24.836601307189543,7.843137254901958,5.911330049261081,HIGH,0.011724004705163356
Tough,Positioning,Orange,25-50,87,25,17,28.735632183908045,19.54022988505747,9.195402298850574,5.839416058394161,HIGH,-0.07176800276997695
Tough,Positioning,Red,50-75,19,6,2,31.57894736842105,10.526315789473683,21.05263157894737,5.797101449275363,EXPLORATORY,-0.30259295712084205
Moderate,Survival,Brown,25-50,3,3,0,100.0,0.0,100.0,5.660377358490567,WEAK,-3.4508010732666663
Moderate,Positioning,Brown,50-75,3,3,0,100.0,0.0,100.0,5.660377358490567,WEAK,-3.0847760483
Moderate,Positioning,Orange,25-50,395,116,92,29.367088607594937,23.29113924050633,6.075949367088608,5.393258426966292,HIGH,-0.24567445084073414
