condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Moderate,Positioning,Yellow,75-100,50-75,216,63,60,29.166666666666668,27.77777777777778,1.3888888888888895,0.22780511938885675,HIGH
Tough,Positioning,Purple,50-75,50-75,74,17,18,22.972972972972975,24.324324324324326,-1.3513513513513513,0.21376406777578377,HIGH
Calm,Open,Blue,25-50,50-75,746,190,180,25.46916890080429,24.128686327077748,1.3404825737265424,-0.14482106672159517,HIGH
Calm,Positioning,Blue,50-75,75-100,495,117,123,23.636363636363637,24.848484848484848,-1.2121212121212115,0.17785314640521213,HIGH
Tough,Positioning,Yellow,75-100,50-75,90,16,15,17.77777777777778,16.666666666666664,1.1111111111111127,-0.5444066653512445,HIGH
Moderate,Positioning,Blue,50-75,50-75,301,84,87,27.906976744186046,28.903654485049834,-0.9966777408637884,0.24456062827607974,HIGH
Calm,Positioning,Blue,25-50,25-50,119,32,31,26.89075630252101,26.05042016806723,0.8403361344537785,-0.087038496807563,HIGH
Calm,Open,Orange,50-75,50-75,497,122,118,24.547283702213278,23.74245472837022,0.8048289738430581,0.11137639468816901,HIGH
Moderate,Positioning,Yellow,50-75,50-75,642,175,180,27.258566978193144,28.037383177570092,-0.7788161993769471,0.062277055571616946,HIGH
Moderate,Survival,Blue,50-75,50-75,795,209,215,26.28930817610063,27.044025157232703,-0.7547169811320753,0.11762977202738967,HIGH
Moderate,Closing,Orange,50-75,50-75,144,37,36,25.694444444444443,25.0,0.694444444444442,-0.027042201818680518,HIGH
Moderate,Survival,Yellow,50-75,50-75,1803,460,448,25.513033832501385,24.847476428175263,0.6655574043261225,0.016088227757926305,HIGH
Calm,Positioning,Orange,50-75,75-100,313,73,71,23.322683706070286,22.683706070287542,0.6389776357827476,0.11033800452984026,HIGH
Calm,Positioning,Blue,75-100,50-75,197,51,50,25.888324873096447,25.380710659898476,0.5076142131979711,0.11274969917730973,HIGH
Calm,Positioning,Blue,50-75,50-75,666,164,161,24.624624624624623,24.174174174174173,0.4504504504504514,0.009871691442357344,HIGH
Moderate,Open,Green,50-75,50-75,594,153,152,25.757575757575758,25.589225589225588,0.16835016835016758,0.07432087111867561,HIGH
Moderate,Survival,Green,75-100,75-100,2,1,1,50.0,50.0,0.0,-1.293583355645,WEAK
Moderate,Positioning,Pink,50-75,50-75,5,2,2,40.0,40.0,0.0,0.8855229068599997,WEAK
Moderate,Closing,Orange,75-100,75-100,2,0,0,0.0,0.0,0.0,-1.3553705951000001,WEAK
Moderate,Closing,Red,25-50,50-75,26,7,7,26.923076923076923,26.923076923076923,0.0,-0.03264839609884613,EXPLORATORY
Moderate,Closing,Green,75-100,75-100,4,0,0,0.0,0.0,0.0,0.11402427415,WEAK
Moderate,Closing,Blue,75-100,75-100,7,2,2,28.57142857142857,28.57142857142857,0.0,0.49753017518571446,WEAK
Calm,Closing,Brown,25-50,50-75,11,3,3,27.27272727272727,27.27272727272727,0.0,0.5032336048545454,WEAK
Moderate,Positioning,Blue,25-50,25-50,75,23,23,30.666666666666664,30.666666666666664,0.0,0.4801524403030666,HIGH
Moderate,Positioning,Green,50-75,25-50,16,6,6,37.5,37.5,0.0,0.5519522491357542,EXPLORATORY
Moderate,Survival,Pink,50-75,50-75,21,3,3,14.285714285714285,14.285714285714285,0.0,0.10342317329523805,EXPLORATORY
Calm,Closing,Pink,50-75,75-100,2,0,0,0.0,0.0,0.0,0.285418462,WEAK
Moderate,Survival,Purple,50-75,25-50,17,3,3,17.647058823529413,17.647058823529413,0.0,-0.002628580382352814,EXPLORATORY
