Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Orange,Exec,25-50,Moderate,Positioning,94,95,49.74%,49.74%,5.62%,5.62,,,,,,,
Orange,Exec,50-75,Moderate,Positioning,73,71,50.69%,50.69%,6.58%,6.58,,,,,,,
Orange,Exec,75-100,Moderate,Positioning,2,11,15.38%,40.81%,-3.31%,-3.31,,,,,,,
Blue,Exec,0-25,Moderate,Positioning,0,2,0.00%,43.25%,-0.87%,-0.87,,,,,,,
Blue,Exec,25-50,Moderate,Positioning,68,116,36.96%,36.96%,-7.16%,-7.16,,,,,,,
Blue,Exec,50-75,Moderate,Positioning,123,152,44.73%,44.73%,0.61%,0.61,,,,,,,
Blue,Exec,75-100,Moderate,Positioning,12,22,35.29%,41.88%,-2.24%,-2.24,,,,,,,
Yellow,Exec,0-25,Moderate,Positioning,0,2,0.00%,43.25%,-0.87%,-0.87,,,,,,,
Yellow,Exec,25-50,Moderate,Positioning,88,141,38.43%,38.43%,-5.69%,-5.69,,,,,,,
Yellow,Exec,50-75,Moderate,Positioning,241,294,45.05%,45.05%,0.93%,0.93,,,,,,,
Yellow,Exec,75-100,Moderate,Positioning,55,61,47.41%,47.41%,3.29%,3.29,,,,,,,
Green,Exec,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Green,Exec,25-50,Moderate,Positioning,30,46,39.47%,42.11%,-2.01%,-2.01,,,,,,,
Green,Exec,50-75,Moderate,Positioning,92,89,50.83%,50.83%,6.71%,6.71,,,,,,,
Green,Exec,75-100,Moderate,Positioning,17,26,39.53%,42.74%,-1.38%,-1.38,,,,,,,
Purple,Exec,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Purple,Exec,25-50,Moderate,Positioning,46,47,49.46%,46.69%,2.57%,2.57,,,,,,,
Purple,Exec,50-75,Moderate,Positioning,97,146,39.92%,39.92%,-4.20%,-4.20,,,,,,,
Purple,Exec,75-100,Moderate,Positioning,22,23,48.89%,45.60%,1.48%,1.48,,,,,,,
Red,Exec,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Red,Exec,25-50,Moderate,Positioning,9,19,32.14%,41.50%,-2.62%,-2.62,,,,,,,
Red,Exec,50-75,Moderate,Positioning,18,14,56.25%,47.06%,2.94%,2.94,,,,,,,
Red,Exec,75-100,Moderate,Positioning,0,2,0.00%,43.25%,-0.87%,-0.87,,,,,,,
Brown,Exec,0-25,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Moderate,Positioning,0,1,0.00%,43.68%,-0.44%,-0.44,,,,,,,
Brown,Exec,50-75,Moderate,Positioning,1,0,100.00%,44.67%,0.55%,0.55,,,,,,,
Brown,Exec,75-100,Moderate,Positioning,0,0,#DIV/0!,44.12%,0.00%,0.00,,,,,,,
Pink,Exec,0-25,Moderate,Survival,0,1,0.00%,51.89%,-0.52%,-0.52,,,,,,,
Pink,Exec,25-50,Moderate,Survival,16,11,59.26%,53.86%,1.46%,1.46,,,,,,,
Pink,Exec,50-75,Moderate,Survival,6,4,60.00%,53.10%,0.69%,0.69,,,,,,,
Pink,Exec,75-100,Moderate,Survival,1,0,100.00%,52.88%,0.47%,0.47,,,,,,,
Orange,Exec,0-25,Moderate,Survival,4,2,66.67%,53.22%,0.81%,0.81,,,,,,,
Orange,Exec,25-50,Moderate,Survival,210,184,53.30%,53.30%,0.89%,0.89,,,,,,,
Orange,Exec,50-75,Moderate,Survival,190,227,45.56%,45.56%,-6.84%,-6.84,,,,,,,
Orange,Exec,75-100,Moderate,Survival,35,46,43.21%,48.29%,-4.12%,-4.12,,,,,,,
Blue,Exec,0-25,Moderate,Survival,0,1,0.00%,51.89%,-0.52%,-0.52,,,,,,,
Blue,Exec,25-50,Moderate,Survival,207,145,58.81%,58.81%,6.40%,6.40,,,,,,,
Blue,Exec,50-75,Moderate,Survival,353,335,51.31%,51.31%,-1.10%,-1.10,,,,,,,
Blue,Exec,75-100,Moderate,Survival,41,35,53.95%,53.07%,0.66%,0.66,,,,,,,
Yellow,Exec,0-25,Moderate,Survival,2,2,50.00%,52.32%,-0.09%,-0.09,,,,,,,
Yellow,Exec,25-50,Moderate,Survival,230,212,52.04%,52.04%,-0.37%,-0.37,,,,,,,
Yellow,Exec,50-75,Moderate,Survival,707,648,52.18%,52.18%,-0.23%,-0.23,,,,,,,
Yellow,Exec,75-100,Moderate,Survival,104,136,43.33%,43.33%,-9.08%,-9.08,,,,,,,
Green,Exec,0-25,Moderate,Survival,0,0,#DIV/0!,52.41%,0.00%,0.00,,,,,,,
Green,Exec,25-50,Moderate,Survival,85,72,54.14%,54.14%,1.73%,1.73,,,,,,,
Green,Exec,50-75,Moderate,Survival,205,170,54.67%,54.67%,2.26%,2.26,,,,,,,
Green,Exec,75-100,Moderate,Survival,26,18,59.09%,54.45%,2.04%,2.04,,,,,,,
Purple,Exec,0-25,Moderate,Survival,2,0,100.00%,53.34%,0.93%,0.93,,,,,,,
Purple,Exec,25-50,Moderate,Survival,77,50,60.63%,60.63%,8.22%,8.22,,,,,,,
Purple,Exec,50-75,Moderate,Survival,207,151,57.82%,57.82%,5.41%,5.41,,,,,,,
Purple,Exec,75-100,Moderate,Survival,44,36,55.00%,53.56%,1.15%,1.15,,,,,,,
Red,Exec,0-25,Moderate,Survival,0,1,0.00%,51.89%,-0.52%,-0.52,,,,,,,
Red,Exec,25-50,Moderate,Survival,15,16,48.39%,51.46%,-0.95%,-0.95,,,,,,,
Red,Exec,50-75,Moderate,Survival,46,51,47.42%,49.95%,-2.45%,-2.45,,,,,,,
Red,Exec,75-100,Moderate,Survival,0,0,#DIV/0!,52.41%,0.00%,0.00,,,,,,,
Brown,Exec,0-25,Moderate,Survival,0,0,#DIV/0!,52.41%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Moderate,Survival,1,0,100.00%,52.88%,0.47%,0.47,,,,,,,
Brown,Exec,50-75,Moderate,Survival,4,5,44.44%,51.75%,-0.66%,-0.66,,,,,,,
Pink,Exec,0-25,Moderate,Closing,0,4,0.00%,45.15%,-1.81%,-1.81,,,,,,,
Pink,Exec,25-50,Moderate,Closing,7,5,58.33%,48.17%,1.22%,1.22,,,,,,,
Pink,Exec,50-75,Moderate,Closing,1,0,100.00%,47.48%,0.53%,0.53,,,,,,,
Pink,Exec,75-100,Moderate,Closing,0,0,#DIV/0!,46.95%,0.00%,0.00,,,,,,,
Orange,Exec,0-25,Moderate,Closing,9,2,81.82%,50.41%,3.46%,3.46,,,,,,,
Orange,Exec,25-50,Moderate,Closing,104,73,58.76%,58.76%,11.80%,11.80,,,,,,,
Orange,Exec,50-75,Moderate,Closing,88,93,48.62%,48.62%,1.67%,1.67,,,,,,,
Orange,Exec,75-100,Moderate,Closing,6,3,66.67%,48.58%,1.63%,1.63,,,,,,,
Blue,Exec,0-25,Moderate,Closing,1,0,100.00%,47.48%,0.53%,0.53,,,,,,,
Blue,Exec,25-50,Moderate,Closing,111,131,45.87%,45.87%,-1.09%,-1.09,,,,,,,
Blue,Exec,50-75,Moderate,Closing,141,166,45.93%,45.93%,-1.03%,-1.03,,,,,,,
Blue,Exec,75-100,Moderate,Closing,29,31,48.33%,47.47%,0.52%,0.52,,,,,,,
Yellow,Exec,0-25,Moderate,Closing,3,2,60.00%,47.58%,0.62%,0.62,,,,,,,
Yellow,Exec,25-50,Moderate,Closing,140,172,44.87%,44.87%,-2.08%,-2.08,,,,,,,
Yellow,Exec,50-75,Moderate,Closing,296,367,44.65%,44.65%,-2.31%,-2.31,,,,,,,
Yellow,Exec,75-100,Moderate,Closing,47,84,35.88%,35.88%,-11.08%,-11.08,,,,,,,
Green,Exec,0-25,Moderate,Closing,1,1,50.00%,47.01%,0.06%,0.06,,,,,,,
