player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
J.J. Spaun,Ludvig Aberg,Hideki Matsuyama,Hideki Matsuyama,140.0,Hideki Matsuyama,False,SLIGHT: C favored,3.5326591260749147,WIN,140.0
Hideki Matsuyama,Ludvig Aberg,J.J. Spaun,Hideki Matsuyama,130.0,Hideki Matsuyama,False,SLIGHT: A favored,3.5326591260749147,WIN,130.0
Bryson DeChambeau,Dustin Johnson,Louis Oosthuizen,Bryson DeChambeau,105.0,Bryson DeChambeau,False,SLIGHT: A favored,3.4865738143515097,WIN,105.0
Stephen Ferreira,Franklin Manchest,Joel Girrbach,Joel Girrbach,-150.0,Joel Girrbach,False,SLIGHT: C favored,3.3971826649029744,WIN,66.66666666666666
Richard Sterne,Marcel Schneider,Hennie Otto,Richard Sterne,145.0,Richard Sterne,False,SLIGHT: A favored,3.203184392649928,WIN,145.0
Mackenzie Hughes,Eric Cole,Rico Hoey,Rico Hoey,162.0,Eric Cole,False,SLIGHT: C favored,3.1430222114709085,LOSS,-100.0
Mackenzie Hughes,Eric Cole,Rico Hoey,Rico Hoey,175.0,Eric Cole,False,SLIGHT: C favored,3.1430222114709085,LOSS,-100.0
Marc Leishman,Jose Luis Ballester,Paul Casey,Paul Casey,230.0,Jose Luis Ballester,False,SLIGHT: C favored,2.942321907016442,LOSS,-100.0
Angel Ayora,Antoine Rozner,Pablo Larrazabal,Pablo Larrazabal,400.0,Angel Ayora,False,SLIGHT: C favored,2.854758857241704,LOSS,-100.0
Shubhankar Sharma,Jordan Gumberg,David Ravetto,David Ravetto,137.0,Jordan Gumberg,False,SLIGHT: C favored,2.713205190857032,LOSS,-100.0
Brian Campbell,Karl Vilips,Aaron Rai,Karl Vilips,240.0,Karl Vilips,False,SLIGHT: B favored,2.565774427607179,WIN,240.0
Tom Kim,Rickie Fowler,Max Greyserman,Tom Kim,240.0,Max Greyserman,False,SLIGHT: A favored,2.544865344067474,LOSS,-100.0
Rickie Fowler,Max Greyserman,Tom Kim,Tom Kim,250.0,Max Greyserman,False,SLIGHT: C favored,2.544865344067474,LOSS,-100.0
Jayden Schaper,Patrick Reed,Andy Sullivan,Andy Sullivan,280.0,Jayden Schaper,False,SLIGHT: C favored,2.4627546693871585,LOSS,-100.0
Chris Gotterup,Robert MacIntyre,Justin Rose,Justin Rose,200.0,Chris Gotterup,False,SLIGHT: C favored,2.390816048292825,LOSS,-100.0
Chris Gotterup,Justin Rose,Robert MacIntyre,Justin Rose,180.0,Chris Gotterup,False,SLIGHT: B favored,2.390816048292825,LOSS,-100.0
Yurav Premall,Estiaan Conradie,Rhys Enoch,Yurav Premall,150.0,,True,SLIGHT: A favored,2.274832138675274,2WAY_PUSH_WIN,75.0
Adam Svensson,Rico Hoey,Max McGreevy,Adam Svensson,280.0,Max McGreevy,False,SLIGHT: A favored,2.2599272204901784,LOSS,-100.0
Marcus Armitage,Herman Loubser,Angel Hidalgo,Marcus Armitage,105.0,Herman Loubser,False,SLIGHT: A favored,2.2599272204901784,LOSS,-100.0
Matt Wallace,Matti Schmid,S.H. Kim,Matti Schmid,160.0,S.H. Kim,False,SLIGHT: B favored,2.2599272204901784,LOSS,-100.0
Xander Schauffele,Keegan Bradley,Patrick Cantlay,Keegan Bradley,275.0,Xander Schauffele,False,SLIGHT: B favored,2.1862670959287485,LOSS,-100.0
Michael Hollick,Romain Langasque,Casey Jarvis,Casey Jarvis,130.0,Casey Jarvis,False,SLIGHT: C favored,2.1601307863921626,WIN,130.0
Garrick Higgo,Aaron Rai,Matt Fitzpatrick,Garrick Higgo,220.0,Aaron Rai,False,SLIGHT: A favored,2.064473140123744,LOSS,-100.0
Matt Fitzpatrick,Garrick Higgo,Aaron Rai,Garrick Higgo,250.0,Aaron Rai,False,SLIGHT: B favored,2.064473140123744,LOSS,-100.0
Tobias Jonsson,Aaron Cockerill,Sebastian Garcia Rodriguez,Tobias Jonsson,180.0,,True,SLIGHT: A favored,2.055431230828982,2WAY_PUSH_WIN,90.0
Tom Vaillant,Mike Kisia,Dan Erickson,Dan Erickson,137.0,Tom Vaillant,False,SLIGHT: C favored,1.9650844654712776,LOSS,-100.0
Maximilian Kieffer,Yannik Paul,Lucas Bjerregaard,Maximilian Kieffer,150.0,,True,SLIGHT: A favored,1.9650844654712776,2WAY_PUSH_WIN,75.0
Kurt Kitayama,Nico Echavarria,Jake Knapp,Kurt Kitayama,175.0,Kurt Kitayama,False,SLIGHT: A favored,1.9308022268099323,WIN,175.0
