player_id,player_name,chinese_zodiac,events,avg_score,win_rate,good_count,bad_count
1782,Daniel Brown,Dog,6,-0.773,0.167,1.0,1.0
1465,Daniel Hillier,Tiger,18,-0.201,0.389,7.0,4.0
1692,Daniel Summerhays,Pig,8,-0.949,0.375,3.0,2.0
2422,Daniel Young,Goat,2,0.215,0.0,0.0,0.0
1651,Daniel van Tonder,Goat,8,2.171,0.125,1.0,5.0
1288,Danny Lee,Horse,75,0.617,0.213,16.0,26.0
2390,Danny List,Tiger,2,2.465,0.0,0.0,1.0
1242,Danny Walker,Pig,102,0.21,0.275,28.0,33.0
1177,Danny Willett,Rabbit,181,0.399,0.204,37.0,48.0
1682,Darius Van Driel,Snake,8,0.251,0.25,2.0,2.0
1768,Darren Fichardt,Rabbit,6,2.893,0.167,1.0,4.0
1304,David Ford,Horse,66,0.108,0.242,16.0,12.0
1352,David Hearn,Goat,47,1.917,0.128,6.0,24.0
1543,David Law,Goat,12,0.313,0.167,2.0,4.0
1033,David Lipsky,Dragon,360,0.145,0.247,89.0,86.0
1494,David Micheluzzi,Rat,16,1.049,0.125,2.0,8.0
1929,David Perkins,Tiger,4,-0.602,0.25,1.0,1.0
1503,David Puig,Snake,16,0.192,0.313,5.0,5.0
1662,David Ravetto,Ox,8,-0.18,0.25,2.0,1.0
1138,David Skinns,Dog,224,0.479,0.21,47.0,66.0
2123,Davis Bryant,Rabbit,2,2.53,0.0,0.0,1.0
1457,Davis Chatfield,Rabbit,20,0.526,0.15,3.0,5.0
1032,Davis Riley,Rat,362,0.34,0.268,97.0,104.0
1515,Davis Shore,Tiger,14,-0.884,0.357,5.0,1.0
1072,Davis Thompson,Rabbit,309,-0.5,0.291,90.0,57.0
1301,Dean Burmester,Snake,67,-0.249,0.328,22.0,15.0
1015,Denny McCarthy,Rooster,379,-0.658,0.288,109.0,56.0
1883,Deon Germishuys,Rabbit,4,-0.423,0.25,1.0,1.0
1199,Doc Redman,Ox,160,-0.004,0.244,39.0,38.0
1025,Doug Ghim,Rat,367,-0.288,0.264,97.0,71.0
1695,Drew Nesbitt,Pig,8,0.808,0.375,3.0,3.0
1296,Dustin Johnson,Rat,70,-0.454,0.314,22.0,11.0
1181,Dylan Frittelli,Horse,180,0.871,0.2,36.0,56.0
1993,Dylan Naidoo,Tiger,4,1.743,0.0,0.0,2.0
1069,Dylan Wu,Rat,314,-0.079,0.236,74.0,66.0
2426,Eddie Pepperell,Horse,2,1.225,0.0,0.0,1.0
1485,Edoardo Molinari,Rooster,16,0.528,0.063,1.0,4.0
1556,Elvis Smylie,Horse,12,0.578,0.333,4.0,2.0
1011,Emiliano Grillo,Monkey,382,-0.223,0.296,113.0,69.0
2395,Enrique Valverde,Tiger,2,6.955,0.0,0.0,2.0
1024,Eric Cole,Dragon,368,-0.523,0.293,108.0,66.0
2427,Eric Steger,Snake,2,3.905,0.0,0.0,2.0
1227,Erik Barnes,Rabbit,115,0.737,0.157,18.0,33.0
1443,Erik Compton,Goat,22,1.138,0.182,4.0,7.0
1089,Erik van Rooyen,Horse,290,0.297,0.262,76.0,90.0
1539,Eugenio Chacarra,Dragon,12,0.547,0.167,2.0,3.0
2021,Evan Beck,Horse,4,2.728,0.0,0.0,3.0
1627,Evan Harmeling,Dragon,10,0.356,0.2,2.0,3.0
1466,Ewen Ferguson,Rat,18,-0.016,0.278,5.0,4.0
1344,Fabián Gómez,Horse,51,0.777,0.157,8.0,17.0
1438,Fabrizio Zanotti,Pig,22,-0.835,0.273,6.0,3.0
1730,Filippo Celli,Dragon,6,-0.905,0.167,1.0,0.0
1487,Francesco Laporta,Horse,16,-0.076,0.313,5.0,3.0
1180,Francesco Molinari,Dog,181,0.327,0.204,37.0,41.0
