condition,round_type,exec_bucket,upside_bucket,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Moderate,Positioning,50,50,8.0,44,22.7,13.6,22.7,22.6,0.0,-9.0,1.66,-0.3
Moderate,Positioning,50,50,9.0,55,30.9,16.4,22.7,22.6,8.2,-6.2,1.88,-0.63
Moderate,Survival,50,50,1.0,85,35.3,16.5,28.3,20.9,7.0,-4.5,1.59,-0.84
Moderate,Survival,50,50,2.0,75,18.7,24.0,28.3,20.9,-9.6,3.1,0.58,0.05
Moderate,Survival,50,50,3.0,73,27.4,21.9,28.3,20.9,-0.9,1.0,0.93,-0.21
Moderate,Survival,50,50,4.0,72,27.8,22.2,28.3,20.9,-0.5,1.3,0.93,-0.03
Moderate,Survival,50,50,5.0,52,32.7,21.2,28.3,20.9,4.4,0.2,1.14,-0.63
Moderate,Survival,50,50,6.0,59,20.3,22.0,28.3,20.9,-8.0,1.1,0.68,-0.05
Moderate,Survival,50,50,7.0,62,22.6,22.6,28.3,20.9,-5.7,1.6,0.74,-0.38
Moderate,Survival,50,50,8.0,49,26.5,28.6,28.3,20.9,-1.8,7.6,0.69,0.29
Moderate,Survival,50,50,9.0,72,25.0,22.2,28.3,20.9,-3.3,1.3,0.83,-0.1
Moderate,Survival,50,75,1.0,46,32.6,21.7,28.3,20.9,4.3,0.8,1.11,-1.04
Moderate,Survival,50,75,2.0,51,41.2,11.8,28.3,20.9,12.9,-9.2,2.59,-0.94
Moderate,Survival,50,75,3.0,47,27.7,23.4,28.3,20.9,-0.6,2.5,0.87,-0.26
Moderate,Survival,50,75,4.0,36,22.2,19.4,28.3,20.9,-6.1,-1.5,0.85,-0.17
Moderate,Survival,50,75,5.0,39,30.8,15.4,28.3,20.9,2.5,-5.6,1.48,-0.45
Moderate,Survival,50,75,6.0,36,19.4,27.8,28.3,20.9,-8.8,6.8,0.52,0.57
Moderate,Survival,50,75,7.0,36,36.1,5.6,28.3,20.9,7.8,-15.4,4.81,-1.41
Moderate,Survival,50,75,9.0,49,26.5,28.6,28.3,20.9,-1.8,7.6,0.69,0.13
