condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Positioning,50,75,LEO,51,29.4,15.7,23.1,22.9,6.3,-7.3,1.86,-0.42
Calm,Positioning,50,75,PISCES,64,15.6,21.9,23.1,22.9,-7.5,-1.1,0.71,0.39
Calm,Positioning,50,75,SAGITTARIUS,39,33.3,12.8,23.1,22.9,10.2,-10.1,2.58,-0.68
Calm,Positioning,50,75,SCORPIO,47,23.4,25.5,23.1,22.9,0.3,2.6,0.91,0.48
Calm,Positioning,50,75,TAURUS,37,16.2,16.2,23.1,22.9,-6.9,-6.7,0.99,-0.06
Calm,Positioning,50,75,VIRGO,45,20.0,11.1,23.1,22.9,-3.1,-11.8,1.79,-0.4
Calm,REMOVE,25,50,LEO,33,21.2,30.3,27.0,28.2,-5.8,2.1,0.73,0.36
Calm,REMOVE,50,50,AQUARIUS,34,23.5,35.3,27.0,28.2,-3.4,7.1,0.7,0.42
Calm,REMOVE,50,50,ARIES,39,15.4,33.3,27.0,28.2,-11.6,5.1,0.48,0.29
Calm,REMOVE,50,50,CANCER,32,25.0,34.4,27.0,28.2,-2.0,6.2,0.76,0.34
Calm,REMOVE,50,50,CAPRICORN,37,24.3,29.7,27.0,28.2,-2.6,1.5,0.86,-0.05
Calm,REMOVE,50,50,GEMINI,38,31.6,23.7,27.0,28.2,4.6,-4.5,1.4,-0.24
Calm,REMOVE,50,50,LEO,57,31.6,28.1,27.0,28.2,4.6,-0.2,1.18,0.17
Calm,REMOVE,50,50,PISCES,43,30.2,39.5,27.0,28.2,3.3,11.3,0.8,1.12
Calm,REMOVE,50,50,SAGITTARIUS,32,25.0,21.9,27.0,28.2,-2.0,-6.3,1.2,-0.1
Calm,REMOVE,50,50,SCORPIO,30,33.3,30.0,27.0,28.2,6.4,1.8,1.16,-0.06
Calm,Survival,25,50,AQUARIUS,42,14.3,19.0,25.8,22.2,-11.5,-3.2,0.65,0.32
Calm,Survival,25,50,ARIES,57,29.8,26.3,25.8,22.2,4.0,4.1,0.98,0.18
Calm,Survival,25,50,CANCER,54,22.2,25.9,25.8,22.2,-3.6,3.7,0.74,0.38
