condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Moderate,Closing,Purple,Water,32,28.1,15.6,21.9,23.6,6.2,-8.0,1.94,0.01
Moderate,Closing,Yellow,Earth,94,19.1,25.5,21.9,23.6,-2.8,1.9,0.81,0.39
Moderate,Closing,Yellow,Fire,119,15.1,21.8,21.9,23.6,-6.8,-1.8,0.75,0.28
Moderate,Closing,Yellow,Metal,66,24.2,24.2,21.9,23.6,2.3,0.6,1.08,0.35
Moderate,Closing,Yellow,Water,90,17.8,23.3,21.9,23.6,-4.2,-0.3,0.82,0.55
Moderate,Closing,Yellow,Wood,67,20.9,29.9,21.9,23.6,-1.0,6.2,0.75,0.36
Moderate,Open,Blue,Earth,92,22.8,33.7,29.0,21.1,-6.2,12.6,0.49,0.3
Moderate,Open,Blue,Fire,103,24.3,14.6,29.0,21.1,-4.7,-6.5,1.21,-0.33
Moderate,Open,Blue,Metal,89,14.6,21.3,29.0,21.1,-14.4,0.3,0.5,0.4
Moderate,Open,Blue,Water,69,24.6,26.1,29.0,21.1,-4.4,5.0,0.69,0.35
Moderate,Open,Blue,Wood,74,33.8,21.6,29.0,21.1,4.8,0.6,1.13,-0.2
Moderate,Open,Green,Earth,62,33.9,16.1,29.0,21.1,4.9,-4.9,1.52,-0.59
Moderate,Open,Green,Fire,65,32.3,27.7,29.0,21.1,3.3,6.6,0.85,-0.06
Moderate,Open,Green,Metal,43,34.9,23.3,29.0,21.1,5.9,2.2,1.09,-0.04
Moderate,Open,Green,Water,57,36.8,26.3,29.0,21.1,7.8,5.3,1.02,-0.62
Moderate,Open,Green,Wood,43,32.6,25.6,29.0,21.1,3.5,4.5,0.92,-0.19
Moderate,Open,Orange,Earth,45,40.0,13.3,29.0,21.1,11.0,-7.7,2.18,-0.82
Moderate,Open,Orange,Fire,64,34.4,18.8,29.0,21.1,5.4,-2.3,1.33,-0.53
Moderate,Open,Orange,Metal,43,30.2,18.6,29.0,21.1,1.2,-2.5,1.18,-0.16
Moderate,Open,Orange,Water,50,26.0,20.0,29.0,21.1,-3.0,-1.1,0.94,-0.32
Moderate,Open,Orange,Wood,56,30.4,12.5,29.0,21.1,1.3,-8.6,1.76,-0.72
Moderate,Open,Purple,Earth,68,27.9,26.5,29.0,21.1,-1.1,5.4,0.77,0.21
